Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
02/01/2017;16:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;198.0;V;
02/01/2017;17:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;322.0;V;
02/01/2017;18:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;770.0;V;
02/01/2017;19:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;709.0;V;
02/01/2017;20:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;489.0;V;
02/01/2017;21:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;417.0;V;
02/01/2017;22:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;345.0;V;
02/01/2017;23:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;370.0;V;
02/01/2017;23:59;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;382.0;V;
03/01/2017;01:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;357.0;V;
03/01/2017;02:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;222.0;V;
03/01/2017;03:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;283.0;V;
03/01/2017;04:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;250.0;V;
03/01/2017;05:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;307.0;V;
03/01/2017;06:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;334.0;V;
03/01/2017;07:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;440.0;V;
03/01/2017;08:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;417.0;V;
03/01/2017;09:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;748.0;V;
03/01/2017;10:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;669.0;V;
03/01/2017;11:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;650.0;V;
03/01/2017;12:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;418.0;V;
03/01/2017;13:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;161.0;V;
03/01/2017;14:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;138.0;V;
03/01/2017;15:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;114.0;V;
03/01/2017;16:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;100.0;V;
03/01/2017;17:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;119.0;V;
03/01/2017;18:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;149.0;V;
03/01/2017;19:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;288.0;V;
03/01/2017;20:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;339.0;V;
03/01/2017;21:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;423.0;V;
03/01/2017;22:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;425.0;V;
03/01/2017;23:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;231.0;V;
03/01/2017;23:59;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;321.0;V;
04/01/2017;01:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;337.0;V;
04/01/2017;02:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;212.0;V;
04/01/2017;03:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;139.0;V;
04/01/2017;04:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;143.0;V;
04/01/2017;05:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;192.0;V;
04/01/2017;06:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;227.0;V;
04/01/2017;07:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;390.0;V;
04/01/2017;08:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;385.0;V;
04/01/2017;09:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;555.0;V;
04/01/2017;10:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;562.0;V;
04/01/2017;11:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;461.0;V;
04/01/2017;12:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;413.0;V;
04/01/2017;13:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;444.0;V;
04/01/2017;14:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;284.0;V;
04/01/2017;15:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;225.0;V;
04/01/2017;16:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;213.0;V;
04/01/2017;17:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;230.0;V;
04/01/2017;18:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;280.0;V;
04/01/2017;19:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;439.0;V;
04/01/2017;20:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;509.0;V;
04/01/2017;21:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;549.0;V;
04/01/2017;22:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;452.0;V;
04/01/2017;23:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;487.0;V;
04/01/2017;23:59;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;364.0;V;
05/01/2017;01:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;341.0;V;
05/01/2017;02:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;149.0;V;
05/01/2017;03:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;154.0;V;
05/01/2017;04:00;13;001272;805;Torino - Rebaudengo;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;185.0;V;
