,date,type,value
688,2020-04-01,Parks,-76.0
689,2020-04-02,Parks,-75.0
690,2020-04-03,Parks,-75.0
691,2020-04-04,Parks,-83.0
692,2020-04-05,Parks,-89.0
693,2020-04-06,Parks,-76.0
694,2020-04-07,Parks,-73.0
695,2020-04-08,Parks,-75.0
696,2020-04-09,Parks,-74.0
697,2020-04-10,Parks,-73.0
698,2020-04-11,Parks,-81.0
699,2020-04-12,Parks,-90.0
700,2020-04-13,Parks,-85.0
701,2020-04-14,Parks,-73.0
702,2020-04-15,Parks,-75.0
703,2020-04-16,Parks,-74.0
704,2020-04-17,Parks,-72.0
705,2020-04-18,Parks,-81.0
706,2020-04-19,Parks,-90.0
707,2020-04-20,Parks,-84.0
708,2020-04-21,Parks,-79.0
709,2020-04-22,Parks,-71.0
710,2020-04-23,Parks,-71.0
711,2020-04-24,Parks,-65.0
712,2020-04-25,Parks,-85.0
713,2020-04-26,Parks,-88.0
714,2020-04-27,Parks,-76.0
715,2020-04-28,Parks,-78.0
716,2020-04-29,Parks,-65.0
717,2020-04-30,Parks,-70.0
718,2020-05-01,Parks,-80.0
719,2020-05-02,Parks,-73.0
720,2020-05-03,Parks,-78.0
721,2020-05-04,Parks,-11.0
722,2020-05-05,Parks,-8.0
723,2020-05-06,Parks,-13.0
724,2020-05-07,Parks,-11.0
725,2020-05-08,Parks,-14.0
726,2020-05-09,Parks,-21.0
727,2020-05-10,Parks,-51.0
728,2020-05-11,Parks,-46.0
729,2020-05-12,Parks,-12.0
730,2020-05-13,Parks,-63.0
731,2020-05-14,Parks,-12.0
732,2020-05-15,Parks,-20.0
733,2020-05-16,Parks,-55.0
734,2020-05-17,Parks,-17.0
735,2020-05-18,Parks,19.0
736,2020-05-19,Parks,9.0
737,2020-05-20,Parks,37.0
738,2020-05-21,Parks,21.0
739,2020-05-22,Parks,26.0
740,2020-05-23,Parks,-5.0
741,2020-05-24,Parks,26.0
742,2020-05-25,Parks,29.0
743,2020-05-26,Parks,32.0
744,2020-05-27,Parks,32.0
745,2020-05-28,Parks,26.0
746,2020-05-29,Parks,17.0
747,2020-05-30,Parks,17.0
748,2020-05-31,Parks,11.0
749,2020-06-01,Parks,59.0
750,2020-06-02,Parks,110.0
751,2020-06-03,Parks,-11.0
752,2020-06-04,Parks,-37.0
753,2020-06-05,Parks,42.0
754,2020-06-06,Parks,18.0
755,2020-06-07,Parks,-31.0
756,2020-06-08,Parks,-31.0
757,2020-06-09,Parks,-27.0
758,2020-06-10,Parks,13.0
759,2020-06-11,Parks,-32.0
760,2020-06-12,Parks,-16.0
761,2020-06-13,Parks,-28.0
762,2020-06-14,Parks,40.0
763,2020-06-15,Parks,27.0
764,2020-06-16,Parks,2.0
765,2020-06-17,Parks,-5.0
766,2020-06-18,Parks,7.0
767,2020-06-19,Parks,52.0
768,2020-06-20,Parks,32.0
769,2020-06-21,Parks,27.0
770,2020-06-22,Parks,38.0
771,2020-06-23,Parks,52.0
772,2020-06-24,Parks,61.0
773,2020-06-25,Parks,28.0
774,2020-06-26,Parks,36.0
775,2020-06-27,Parks,-2.0
776,2020-06-28,Parks,18.0
777,2020-06-29,Parks,35.0
778,2020-06-30,Parks,43.0
779,2020-07-01,Parks,12.0
780,2020-07-02,Parks,26.0
781,2020-07-03,Parks,-2.0
782,2020-07-04,Parks,25.0
783,2020-07-05,Parks,16.0
784,2020-07-06,Parks,33.0
785,2020-07-07,Parks,41.0
786,2020-07-08,Parks,45.0
787,2020-07-09,Parks,38.0
788,2020-07-10,Parks,22.0
789,2020-07-11,Parks,14.0
790,2020-07-12,Parks,9.0
791,2020-07-13,Parks,30.0
792,2020-07-14,Parks,39.0
793,2020-07-15,Parks,23.0
794,2020-07-16,Parks,37.0
795,2020-07-17,Parks,33.0
796,2020-07-18,Parks,17.0
797,2020-07-19,Parks,14.0
798,2020-07-20,Parks,28.0
799,2020-07-21,Parks,35.0
800,2020-07-22,Parks,17.0
801,2020-07-23,Parks,36.0
802,2020-07-24,Parks,31.0
803,2020-07-25,Parks,23.0
804,2020-07-26,Parks,10.0
805,2020-07-27,Parks,31.0
806,2020-07-28,Parks,29.0
807,2020-07-29,Parks,33.0
808,2020-07-30,Parks,21.0
809,2020-07-31,Parks,30.0
810,2020-08-01,Parks,-7.0
811,2020-08-02,Parks,-15.0
812,2020-08-03,Parks,-12.0
813,2020-08-04,Parks,41.0
814,2020-08-05,Parks,39.0
815,2020-08-06,Parks,31.0
816,2020-08-07,Parks,25.0
817,2020-08-08,Parks,-1.0
818,2020-08-09,Parks,-10.0
819,2020-08-10,Parks,24.0
820,2020-08-11,Parks,35.0
821,2020-08-12,Parks,13.0
822,2020-08-13,Parks,12.0
823,2020-08-14,Parks,29.0
824,2020-08-15,Parks,-10.0
825,2020-08-16,Parks,-35.0
826,2020-08-17,Parks,-6.0
827,2020-08-18,Parks,34.0
828,2020-08-19,Parks,29.0
829,2020-08-20,Parks,18.0
830,2020-08-21,Parks,15.0
831,2020-08-22,Parks,-10.0
832,2020-08-23,Parks,-17.0
833,2020-08-24,Parks,3.0
834,2020-08-25,Parks,24.0
835,2020-08-26,Parks,22.0
836,2020-08-27,Parks,18.0
837,2020-08-28,Parks,-16.0
838,2020-08-29,Parks,-34.0
839,2020-08-30,Parks,-11.0
840,2020-08-31,Parks,18.0
841,2020-09-01,Parks,35.0
842,2020-09-02,Parks,7.0
843,2020-09-03,Parks,26.0
844,2020-09-04,Parks,31.0
845,2020-09-05,Parks,13.0
846,2020-09-06,Parks,-2.0
847,2020-09-07,Parks,9.0
848,2020-09-08,Parks,38.0
849,2020-09-09,Parks,37.0
850,2020-09-10,Parks,29.0
851,2020-09-11,Parks,14.0
852,2020-09-12,Parks,20.0
853,2020-09-13,Parks,12.0
854,2020-09-14,Parks,32.0
855,2020-09-15,Parks,40.0
856,2020-09-16,Parks,37.0
857,2020-09-17,Parks,33.0
858,2020-09-18,Parks,42.0
859,2020-09-19,Parks,5.0
860,2020-09-20,Parks,-7.0
861,2020-09-21,Parks,18.0
862,2020-09-22,Parks,-10.0
863,2020-09-23,Parks,24.0
864,2020-09-24,Parks,1.0
865,2020-09-25,Parks,-1.0
866,2020-09-26,Parks,-5.0
867,2020-09-27,Parks,-2.0
868,2020-09-28,Parks,14.0
869,2020-09-29,Parks,23.0
870,2020-09-30,Parks,24.0
871,2020-10-01,Parks,6.0
872,2020-10-02,Parks,-36.0
873,2020-10-03,Parks,0.0
874,2020-10-04,Parks,-20.0
875,2020-10-05,Parks,-6.0
876,2020-10-06,Parks,8.0
877,2020-10-07,Parks,16.0
878,2020-10-08,Parks,16.0
879,2020-10-09,Parks,14.0
880,2020-10-10,Parks,1.0
881,2020-10-11,Parks,-3.0
882,2020-10-12,Parks,7.0
883,2020-10-13,Parks,13.0
884,2020-10-14,Parks,0.0
885,2020-10-15,Parks,-34.0
886,2020-10-16,Parks,7.0
887,2020-10-17,Parks,-1.0
888,2020-10-18,Parks,-14.0
889,2020-10-19,Parks,-14.0
890,2020-10-20,Parks,-9.0
891,2020-10-21,Parks,-9.0
892,2020-10-22,Parks,-13.0
893,2020-10-23,Parks,-17.0
894,2020-10-24,Parks,4.0
895,2020-10-25,Parks,-26.0
896,2020-10-26,Parks,-35.0
897,2020-10-27,Parks,11.0
898,2020-10-28,Parks,5.0
899,2020-10-29,Parks,-3.0
900,2020-10-30,Parks,7.0
901,2020-10-31,Parks,-1.0
902,2020-11-01,Parks,-20.0
903,2020-11-02,Parks,-10.0
904,2020-11-03,Parks,-12.0
905,2020-11-04,Parks,-15.0
906,2020-11-05,Parks,-2.0
907,2020-11-06,Parks,-43.0
908,2020-11-07,Parks,-50.0
909,2020-11-08,Parks,-49.0
910,2020-11-09,Parks,-28.0
911,2020-11-10,Parks,-24.0
912,2020-11-11,Parks,-27.0
913,2020-11-12,Parks,-41.0
914,2020-11-13,Parks,-35.0
915,2020-11-14,Parks,-41.0
916,2020-11-15,Parks,-58.0
917,2020-11-16,Parks,-28.0
918,2020-11-17,Parks,-22.0
919,2020-11-18,Parks,-23.0
920,2020-11-19,Parks,-25.0
921,2020-11-20,Parks,-20.0
922,2020-11-21,Parks,-45.0
923,2020-11-22,Parks,-41.0
924,2020-11-23,Parks,-30.0
925,2020-11-24,Parks,-21.0
926,2020-11-25,Parks,-26.0
927,2020-11-26,Parks,-29.0
928,2020-11-27,Parks,-28.0
929,2020-11-28,Parks,-56.0
930,2020-11-29,Parks,-34.0
931,2020-11-30,Parks,-35.0
932,2020-12-01,Parks,-34.0
933,2020-12-02,Parks,-50.0
934,2020-12-03,Parks,-37.0
935,2020-12-04,Parks,-49.0
936,2020-12-05,Parks,-55.0
937,2020-12-06,Parks,-44.0
938,2020-12-07,Parks,-32.0
939,2020-12-08,Parks,-31.0
940,2020-12-09,Parks,-32.0
941,2020-12-10,Parks,-29.0
942,2020-12-11,Parks,-34.0
943,2020-12-12,Parks,-28.0
944,2020-12-13,Parks,-10.0
945,2020-12-14,Parks,-23.0
946,2020-12-15,Parks,-18.0
947,2020-12-16,Parks,-19.0
948,2020-12-17,Parks,-15.0
949,2020-12-18,Parks,-12.0
950,2020-12-19,Parks,-20.0
951,2020-12-20,Parks,-44.0
952,2020-12-21,Parks,-24.0
953,2020-12-22,Parks,-7.0
954,2020-12-23,Parks,-5.0
955,2020-12-24,Parks,-41.0
956,2020-12-25,Parks,-62.0
957,2020-12-26,Parks,-45.0
958,2020-12-27,Parks,-62.0
959,2020-12-28,Parks,-24.0
960,2020-12-29,Parks,-14.0
961,2020-12-30,Parks,-9.0
962,2020-12-31,Parks,-35.0
963,2020-02-15,Transit stations,2.0
964,2020-02-16,Transit stations,4.0
965,2020-02-17,Transit stations,1.0
966,2020-02-18,Transit stations,3.0
967,2020-02-19,Transit stations,0.0
968,2020-02-20,Transit stations,4.0
969,2020-02-21,Transit stations,4.0
970,2020-02-22,Transit stations,1.0
971,2020-02-23,Transit stations,-1.0
972,2020-02-24,Transit stations,-22.0
973,2020-02-25,Transit stations,-26.0
974,2020-02-26,Transit stations,-31.0
975,2020-02-27,Transit stations,-27.0
976,2020-02-28,Transit stations,-23.0
977,2020-02-29,Transit stations,-19.0
978,2020-03-01,Transit stations,-16.0
979,2020-03-02,Transit stations,-29.0
980,2020-03-03,Transit stations,-19.0
981,2020-03-04,Transit stations,-20.0
982,2020-03-05,Transit stations,-26.0
983,2020-03-06,Transit stations,-26.0
984,2020-03-07,Transit stations,-20.0
985,2020-03-08,Transit stations,-25.0
986,2020-03-09,Transit stations,-41.0
987,2020-03-10,Transit stations,-52.0
988,2020-03-11,Transit stations,-58.0
989,2020-03-12,Transit stations,-68.0
990,2020-03-13,Transit stations,-70.0
991,2020-03-14,Transit stations,-76.0
992,2020-03-15,Transit stations,-81.0
993,2020-03-16,Transit stations,-75.0
994,2020-03-17,Transit stations,-75.0
995,2020-03-18,Transit stations,-77.0
996,2020-03-19,Transit stations,-77.0
997,2020-03-20,Transit stations,-78.0
998,2020-03-21,Transit stations,-79.0
999,2020-03-22,Transit stations,-87.0
1000,2020-03-23,Transit stations,-82.0
1001,2020-03-24,Transit stations,-82.0
1002,2020-03-25,Transit stations,-83.0
1003,2020-03-26,Transit stations,-83.0
1004,2020-03-27,Transit stations,-83.0
1005,2020-03-28,Transit stations,-80.0
1006,2020-03-29,Transit stations,-86.0
1007,2020-03-30,Transit stations,-81.0
1008,2020-03-31,Transit stations,-81.0
1009,2020-04-01,Transit stations,-80.0
1010,2020-04-02,Transit stations,-79.0
1011,2020-04-03,Transit stations,-80.0
1012,2020-04-04,Transit stations,-79.0
1013,2020-04-05,Transit stations,-86.0
1014,2020-04-06,Transit stations,-79.0
1015,2020-04-07,Transit stations,-79.0
1016,2020-04-08,Transit stations,-79.0
1017,2020-04-09,Transit stations,-78.0
1018,2020-04-10,Transit stations,-77.0
1019,2020-04-11,Transit stations,-77.0
1020,2020-04-12,Transit stations,-87.0
1021,2020-04-13,Transit stations,-91.0
1022,2020-04-14,Transit stations,-77.0
1023,2020-04-15,Transit stations,-78.0
1024,2020-04-16,Transit stations,-77.0
1025,2020-04-17,Transit stations,-77.0
1026,2020-04-18,Transit stations,-76.0
1027,2020-04-19,Transit stations,-85.0
1028,2020-04-20,Transit stations,-82.0
1029,2020-04-21,Transit stations,-79.0
1030,2020-04-22,Transit stations,-76.0
1031,2020-04-23,Transit stations,-76.0
1032,2020-04-24,Transit stations,-73.0
1033,2020-04-25,Transit stations,-86.0
1034,2020-04-26,Transit stations,-82.0
1035,2020-04-27,Transit stations,-76.0
1036,2020-04-28,Transit stations,-78.0
1037,2020-04-29,Transit stations,-73.0
1038,2020-04-30,Transit stations,-73.0
1039,2020-05-01,Transit stations,-89.0
1040,2020-05-02,Transit stations,-72.0
1041,2020-05-03,Transit stations,-77.0
1042,2020-05-04,Transit stations,-60.0
1043,2020-05-05,Transit stations,-60.0
1044,2020-05-06,Transit stations,-61.0
1045,2020-05-07,Transit stations,-60.0
1046,2020-05-08,Transit stations,-60.0
1047,2020-05-09,Transit stations,-54.0
1048,2020-05-10,Transit stations,-64.0
1049,2020-05-11,Transit stations,-63.0
1050,2020-05-12,Transit stations,-58.0
1051,2020-05-13,Transit stations,-68.0
1052,2020-05-14,Transit stations,-58.0
1053,2020-05-15,Transit stations,-59.0
1054,2020-05-16,Transit stations,-59.0
1055,2020-05-17,Transit stations,-54.0
1056,2020-05-18,Transit stations,-49.0
1057,2020-05-19,Transit stations,-50.0
1058,2020-05-20,Transit stations,-49.0
1059,2020-05-21,Transit stations,-48.0
1060,2020-05-22,Transit stations,-48.0
1061,2020-05-23,Transit stations,-40.0
1062,2020-05-24,Transit stations,-35.0
1063,2020-05-25,Transit stations,-47.0
1064,2020-05-26,Transit stations,-46.0
1065,2020-05-27,Transit stations,-46.0
1066,2020-05-28,Transit stations,-45.0
1067,2020-05-29,Transit stations,-45.0
1068,2020-05-30,Transit stations,-32.0
1069,2020-05-31,Transit stations,-35.0
1070,2020-06-01,Transit stations,-40.0
1071,2020-06-02,Transit stations,-54.0
1072,2020-06-03,Transit stations,-44.0
1073,2020-06-04,Transit stations,-47.0
1074,2020-06-05,Transit stations,-38.0
1075,2020-06-06,Transit stations,-29.0
1076,2020-06-07,Transit stations,-42.0
1077,2020-06-08,Transit stations,-48.0
1078,2020-06-09,Transit stations,-47.0
1079,2020-06-10,Transit stations,-41.0
1080,2020-06-11,Transit stations,-46.0
1081,2020-06-12,Transit stations,-44.0
1082,2020-06-13,Transit stations,-39.0
1083,2020-06-14,Transit stations,-23.0
1084,2020-06-15,Transit stations,-38.0
1085,2020-06-16,Transit stations,-40.0
1086,2020-06-17,Transit stations,-41.0
1087,2020-06-18,Transit stations,-38.0
1088,2020-06-19,Transit stations,-33.0
1089,2020-06-20,Transit stations,-25.0
1090,2020-06-21,Transit stations,-24.0
1091,2020-06-22,Transit stations,-36.0
1092,2020-06-23,Transit stations,-33.0
1093,2020-06-24,Transit stations,-43.0
1094,2020-06-25,Transit stations,-34.0
1095,2020-06-26,Transit stations,-33.0
1096,2020-06-27,Transit stations,-31.0
1097,2020-06-28,Transit stations,-23.0
1098,2020-06-29,Transit stations,-34.0
1099,2020-06-30,Transit stations,-33.0
1100,2020-07-01,Transit stations,-36.0
1101,2020-07-02,Transit stations,-32.0
1102,2020-07-03,Transit stations,-37.0
1103,2020-07-04,Transit stations,-24.0
1104,2020-07-05,Transit stations,-24.0
1105,2020-07-06,Transit stations,-34.0
1106,2020-07-07,Transit stations,-32.0
1107,2020-07-08,Transit stations,-34.0
1108,2020-07-09,Transit stations,-32.0
1109,2020-07-10,Transit stations,-34.0
1110,2020-07-11,Transit stations,-27.0
1111,2020-07-12,Transit stations,-25.0
1112,2020-07-13,Transit stations,-35.0
1113,2020-07-14,Transit stations,-33.0
1114,2020-07-15,Transit stations,-35.0
1115,2020-07-16,Transit stations,-32.0
1116,2020-07-17,Transit stations,-33.0
1117,2020-07-18,Transit stations,-27.0
1118,2020-07-19,Transit stations,-23.0
1119,2020-07-20,Transit stations,-35.0
1120,2020-07-21,Transit stations,-35.0
1121,2020-07-22,Transit stations,-37.0
1122,2020-07-23,Transit stations,-32.0
1123,2020-07-24,Transit stations,-33.0
1124,2020-07-25,Transit stations,-26.0
1125,2020-07-26,Transit stations,-24.0
1126,2020-07-27,Transit stations,-34.0
1127,2020-07-28,Transit stations,-34.0
1128,2020-07-29,Transit stations,-36.0
1129,2020-07-30,Transit stations,-35.0
1130,2020-07-31,Transit stations,-35.0
1131,2020-08-01,Transit stations,-33.0
1132,2020-08-02,Transit stations,-32.0
1133,2020-08-03,Transit stations,-40.0
1134,2020-08-04,Transit stations,-35.0
1135,2020-08-05,Transit stations,-38.0
1136,2020-08-06,Transit stations,-38.0
1137,2020-08-07,Transit stations,-41.0
1138,2020-08-08,Transit stations,-35.0
1139,2020-08-09,Transit stations,-34.0
1140,2020-08-10,Transit stations,-46.0
1141,2020-08-11,Transit stations,-47.0
1142,2020-08-12,Transit stations,-51.0
1143,2020-08-13,Transit stations,-49.0
1144,2020-08-14,Transit stations,-49.0
1145,2020-08-15,Transit stations,-53.0
1146,2020-08-16,Transit stations,-43.0
1147,2020-08-17,Transit stations,-51.0
1148,2020-08-18,Transit stations,-50.0
1149,2020-08-19,Transit stations,-52.0
1150,2020-08-20,Transit stations,-50.0
1151,2020-08-21,Transit stations,-51.0
1152,2020-08-22,Transit stations,-43.0
1153,2020-08-23,Transit stations,-36.0
1154,2020-08-24,Transit stations,-46.0
1155,2020-08-25,Transit stations,-44.0
1156,2020-08-26,Transit stations,-45.0
1157,2020-08-27,Transit stations,-42.0
1158,2020-08-28,Transit stations,-45.0
1159,2020-08-29,Transit stations,-41.0
1160,2020-08-30,Transit stations,-31.0
1161,2020-08-31,Transit stations,-36.0
1162,2020-09-01,Transit stations,-33.0
1163,2020-09-02,Transit stations,-37.0
1164,2020-09-03,Transit stations,-31.0
1165,2020-09-04,Transit stations,-32.0
1166,2020-09-05,Transit stations,-26.0
1167,2020-09-06,Transit stations,-25.0
1168,2020-09-07,Transit stations,-32.0
1169,2020-09-08,Transit stations,-28.0
1170,2020-09-09,Transit stations,-31.0
1171,2020-09-10,Transit stations,-27.0
1172,2020-09-11,Transit stations,-30.0
1173,2020-09-12,Transit stations,-20.0
1174,2020-09-13,Transit stations,-18.0
1175,2020-09-14,Transit stations,-26.0
1176,2020-09-15,Transit stations,-23.0
1177,2020-09-16,Transit stations,-23.0
1178,2020-09-17,Transit stations,-21.0
1179,2020-09-18,Transit stations,-21.0
1180,2020-09-19,Transit stations,-18.0
1181,2020-09-20,Transit stations,-14.0
1182,2020-09-21,Transit stations,-22.0
1183,2020-09-22,Transit stations,-26.0
1184,2020-09-23,Transit stations,-23.0
1185,2020-09-24,Transit stations,-22.0
1186,2020-09-25,Transit stations,-22.0
1187,2020-09-26,Transit stations,-18.0
1188,2020-09-27,Transit stations,-12.0
1189,2020-09-28,Transit stations,-21.0
1190,2020-09-29,Transit stations,-20.0
1191,2020-09-30,Transit stations,-22.0
1192,2020-10-01,Transit stations,-19.0
1193,2020-10-02,Transit stations,-26.0
1194,2020-10-03,Transit stations,-12.0
1195,2020-10-04,Transit stations,-16.0
1196,2020-10-05,Transit stations,-20.0
1197,2020-10-06,Transit stations,-18.0
1198,2020-10-07,Transit stations,-21.0
1199,2020-10-08,Transit stations,-20.0
1200,2020-10-09,Transit stations,-19.0
1201,2020-10-10,Transit stations,-16.0
1202,2020-10-11,Transit stations,-15.0
1203,2020-10-12,Transit stations,-22.0
1204,2020-10-13,Transit stations,-21.0
1205,2020-10-14,Transit stations,-25.0
1206,2020-10-15,Transit stations,-28.0
1207,2020-10-16,Transit stations,-22.0
1208,2020-10-17,Transit stations,-20.0
1209,2020-10-18,Transit stations,-26.0
1210,2020-10-19,Transit stations,-27.0
1211,2020-10-20,Transit stations,-27.0
1212,2020-10-21,Transit stations,-29.0
1213,2020-10-22,Transit stations,-27.0
1214,2020-10-23,Transit stations,-32.0
1215,2020-10-24,Transit stations,-25.0
1216,2020-10-25,Transit stations,-34.0
1217,2020-10-26,Transit stations,-37.0
1218,2020-10-27,Transit stations,-32.0
1219,2020-10-28,Transit stations,-36.0
1220,2020-10-29,Transit stations,-36.0
1221,2020-10-30,Transit stations,-34.0
1222,2020-10-31,Transit stations,-32.0
1223,2020-11-01,Transit stations,-39.0
1224,2020-11-02,Transit stations,-40.0
1225,2020-11-03,Transit stations,-40.0
1226,2020-11-04,Transit stations,-39.0
1227,2020-11-05,Transit stations,-37.0
1228,2020-11-06,Transit stations,-58.0
1229,2020-11-07,Transit stations,-63.0
1230,2020-11-08,Transit stations,-67.0
1231,2020-11-09,Transit stations,-55.0
1232,2020-11-10,Transit stations,-55.0
1233,2020-11-11,Transit stations,-56.0
1234,2020-11-12,Transit stations,-56.0
1235,2020-11-13,Transit stations,-56.0
1236,2020-11-14,Transit stations,-59.0
1237,2020-11-15,Transit stations,-66.0
1238,2020-11-16,Transit stations,-55.0
1239,2020-11-17,Transit stations,-53.0
1240,2020-11-18,Transit stations,-55.0
1241,2020-11-19,Transit stations,-53.0
1242,2020-11-20,Transit stations,-54.0
1243,2020-11-21,Transit stations,-58.0
1244,2020-11-22,Transit stations,-62.0
1245,2020-11-23,Transit stations,-53.0
1246,2020-11-24,Transit stations,-52.0
1247,2020-11-25,Transit stations,-54.0
1248,2020-11-26,Transit stations,-52.0
1249,2020-11-27,Transit stations,-52.0
1250,2020-11-28,Transit stations,-57.0
1251,2020-11-29,Transit stations,-50.0
1252,2020-11-30,Transit stations,-48.0
1253,2020-12-01,Transit stations,-47.0
1254,2020-12-02,Transit stations,-52.0
1255,2020-12-03,Transit stations,-47.0
1256,2020-12-04,Transit stations,-51.0
1257,2020-12-05,Transit stations,-48.0
1258,2020-12-06,Transit stations,-47.0
1259,2020-12-07,Transit stations,-49.0
1260,2020-12-08,Transit stations,-66.0
1261,2020-12-09,Transit stations,-46.0
1262,2020-12-10,Transit stations,-44.0
1263,2020-12-11,Transit stations,-46.0
1264,2020-12-12,Transit stations,-41.0
1265,2020-12-13,Transit stations,-24.0
1266,2020-12-14,Transit stations,-42.0
1267,2020-12-15,Transit stations,-39.0
1268,2020-12-16,Transit stations,-40.0
1269,2020-12-17,Transit stations,-36.0
1270,2020-12-18,Transit stations,-35.0
1271,2020-12-19,Transit stations,-27.0
1272,2020-12-20,Transit stations,-30.0
1273,2020-12-21,Transit stations,-39.0
1274,2020-12-22,Transit stations,-35.0
1275,2020-12-23,Transit stations,-34.0
1276,2020-12-24,Transit stations,-62.0
1277,2020-12-25,Transit stations,-85.0
1278,2020-12-26,Transit stations,-76.0
1279,2020-12-27,Transit stations,-64.0
1280,2020-12-28,Transit stations,-49.0
1281,2020-12-29,Transit stations,-47.0
1282,2020-12-30,Transit stations,-45.0
1283,2020-12-31,Transit stations,-63.0
1284,2020-02-15,Workplaces,0.0
1285,2020-02-16,Workplaces,0.0
1286,2020-02-17,Workplaces,0.0
1287,2020-02-18,Workplaces,0.0
1288,2020-02-19,Workplaces,0.0
1289,2020-02-20,Workplaces,0.0
1290,2020-02-21,Workplaces,0.0
1291,2020-02-22,Workplaces,-4.0
1292,2020-02-23,Workplaces,1.0
1293,2020-02-24,Workplaces,-23.0
1294,2020-02-25,Workplaces,-23.0
1295,2020-02-26,Workplaces,-21.0
1296,2020-02-27,Workplaces,-19.0
1297,2020-02-28,Workplaces,-18.0
1298,2020-02-29,Workplaces,-8.0
1299,2020-03-01,Workplaces,-3.0
1300,2020-03-02,Workplaces,-16.0
1301,2020-03-03,Workplaces,-14.0
1302,2020-03-04,Workplaces,-14.0
1303,2020-03-05,Workplaces,-15.0
1304,2020-03-06,Workplaces,-16.0
1305,2020-03-07,Workplaces,-8.0
1306,2020-03-08,Workplaces,-6.0
1307,2020-03-09,Workplaces,-24.0
1308,2020-03-10,Workplaces,-32.0
1309,2020-03-11,Workplaces,-38.0
1310,2020-03-12,Workplaces,-48.0
1311,2020-03-13,Workplaces,-54.0
1312,2020-03-14,Workplaces,-56.0
1313,2020-03-15,Workplaces,-55.0
1314,2020-03-16,Workplaces,-60.0
1315,2020-03-17,Workplaces,-62.0
1316,2020-03-18,Workplaces,-63.0
1317,2020-03-19,Workplaces,-64.0
1318,2020-03-20,Workplaces,-65.0
1319,2020-03-21,Workplaces,-61.0
1320,2020-03-22,Workplaces,-61.0
1321,2020-03-23,Workplaces,-72.0
1322,2020-03-24,Workplaces,-73.0
1323,2020-03-25,Workplaces,-74.0
1324,2020-03-26,Workplaces,-75.0
1325,2020-03-27,Workplaces,-75.0
1326,2020-03-28,Workplaces,-64.0
1327,2020-03-29,Workplaces,-61.0
1328,2020-03-30,Workplaces,-74.0
1329,2020-03-31,Workplaces,-74.0
1330,2020-04-01,Workplaces,-74.0
1331,2020-04-02,Workplaces,-73.0
1332,2020-04-03,Workplaces,-72.0
1333,2020-04-04,Workplaces,-63.0
1334,2020-04-05,Workplaces,-61.0
1335,2020-04-06,Workplaces,-71.0
1336,2020-04-07,Workplaces,-71.0
1337,2020-04-08,Workplaces,-71.0
1338,2020-04-09,Workplaces,-71.0
1339,2020-04-10,Workplaces,-71.0
1340,2020-04-11,Workplaces,-60.0
1341,2020-04-12,Workplaces,-63.0
1342,2020-04-13,Workplaces,-92.0
1343,2020-04-14,Workplaces,-69.0
1344,2020-04-15,Workplaces,-68.0
1345,2020-04-16,Workplaces,-67.0
1346,2020-04-17,Workplaces,-67.0
1347,2020-04-18,Workplaces,-57.0
1348,2020-04-19,Workplaces,-58.0
1349,2020-04-20,Workplaces,-67.0
1350,2020-04-21,Workplaces,-67.0
1351,2020-04-22,Workplaces,-65.0
1352,2020-04-23,Workplaces,-65.0
1353,2020-04-24,Workplaces,-64.0
1354,2020-04-25,Workplaces,-73.0
1355,2020-04-26,Workplaces,-52.0
1356,2020-04-27,Workplaces,-63.0
1357,2020-04-28,Workplaces,-64.0
1358,2020-04-29,Workplaces,-62.0
1359,2020-04-30,Workplaces,-62.0
1360,2020-05-01,Workplaces,-89.0
1361,2020-05-02,Workplaces,-51.0
1362,2020-05-03,Workplaces,-45.0
1363,2020-05-04,Workplaces,-50.0
1364,2020-05-05,Workplaces,-51.0
1365,2020-05-06,Workplaces,-50.0
1366,2020-05-07,Workplaces,-50.0
1367,2020-05-08,Workplaces,-49.0
1368,2020-05-09,Workplaces,-36.0
1369,2020-05-10,Workplaces,-27.0
1370,2020-05-11,Workplaces,-48.0
1371,2020-05-12,Workplaces,-47.0
1372,2020-05-13,Workplaces,-49.0
1373,2020-05-14,Workplaces,-47.0
1374,2020-05-15,Workplaces,-47.0
1375,2020-05-16,Workplaces,-33.0
1376,2020-05-17,Workplaces,-19.0
1377,2020-05-18,Workplaces,-42.0
1378,2020-05-19,Workplaces,-42.0
1379,2020-05-20,Workplaces,-42.0
1380,2020-05-21,Workplaces,-42.0
1381,2020-05-22,Workplaces,-41.0
1382,2020-05-23,Workplaces,-19.0
1383,2020-05-24,Workplaces,-4.0
1384,2020-05-25,Workplaces,-40.0
1385,2020-05-26,Workplaces,-38.0
1386,2020-05-27,Workplaces,-38.0
1387,2020-05-28,Workplaces,-38.0
1388,2020-05-29,Workplaces,-39.0
1389,2020-05-30,Workplaces,-13.0
1390,2020-05-31,Workplaces,2.0
1391,2020-06-01,Workplaces,-52.0
1392,2020-06-02,Workplaces,-76.0
1393,2020-06-03,Workplaces,-37.0
1394,2020-06-04,Workplaces,-38.0
1395,2020-06-05,Workplaces,-35.0
1396,2020-06-06,Workplaces,-11.0
1397,2020-06-07,Workplaces,-1.0
1398,2020-06-08,Workplaces,-37.0
1399,2020-06-09,Workplaces,-36.0
1400,2020-06-10,Workplaces,-35.0
