Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
11/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
12/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
13/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
14/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
15/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
16/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
17/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
18/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
19/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
20/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
21/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
22/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
23/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
24/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
25/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
26/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
27/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
28/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
29/03/2012;23:59;13;001272;805;Torino - Rebaudengo;PM10_B;PM10 - Beta;23;microgrammi / metro cubo;;E;
