Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2015;0.0;0.0;1.9;7.1;-1.9;67;84;43;1.1;5.0;40;SSW;660;5.8;
02/01/2015;0.0;0.0;4.4;9.7;-0.2;59;80;33;1.3;4.5;20;SSW;770;5.5;
03/01/2015;0.0;0.0;5.5;9.7;3.1;68;84;52;1.3;5.4;40;SW;280;5.1;
04/01/2015;0.0;0.0;13.6;19.5;4.5;35;79;23;1.8;12.4;60;W;290;6.3;
05/01/2015;0.0;0.0;7.8;14.3;3.1;43;63;17;1.3;4.4;70;SSW;670;6.4;
06/01/2015;0.0;0.0;4.9;11.3;1.6;59;77;30;1.4;4.8;10;SSW;340;6.4;
07/01/2015;0.0;0.0;4.5;7.5;1.8;71;78;62;0.9;3.2;20;E;260;4.0;
08/01/2015;0.0;0.0;5.2;9.1;2.9;71;81;55;1.1;3.8;10;SSW;480;5.4;
09/01/2015;0.0;0.0;5.4;9.6;1.9;70;84;49;1.3;6.4;30;SSW;430;5.1;
10/01/2015;0.0;0.0;11.7;24.2;4.3;58;77;16;1.6;10.6;60;SSW;230;4.3;
11/01/2015;0.0;0.0;9.2;18.2;2.7;53;99;9;2.3;14.1;30;W;260;5.5;
12/01/2015;0.0;0.0;8.0;13.0;4.3;35;51;19;1.0;5.4;70;SSW;210;6.9;
13/01/2015;0.0;0.0;5.5;7.5;2.8;52;62;47;0.9;3.8;50;E;250;2.1;
14/01/2015;0.0;0.0;6.7;11.6;3.9;64;77;47;1.2;4.3;80;SSW;500;6.3;
15/01/2015;0.0;0.0;5.7;7.9;3.8;73;83;58;1.1;4.8;30;E;330;3.2;
16/01/2015;0.0;0.0;5.1;5.8;4.6;91;94;82;1.1;4.5;0;NNE;430;;
17/01/2015;6.0;6.0;6.5;9.1;4.3;87;95;73;1.1;4.3;70;SSW;330;2.7;
18/01/2015;0.0;0.0;5.2;9.1;1.9;73;90;54;0.8;3.4;60;E;330;6.7;
19/01/2015;0.0;0.0;5.0;8.7;2.3;72;85;55;0.8;3.2;60;E;410;4.2;
20/01/2015;0.0;0.0;5.1;7.8;3.0;69;79;57;0.9;3.2;10;ESE;220;3.5;
21/01/2015;0.0;0.0;2.3;4.6;0.8;83;93;72;1.1;4.8;40;E;230;1.2;
22/01/2015;6.0;5.2;4.0;8.2;0.8;87;93;72;1.1;4.7;110;SSW;600;2.0;
23/01/2015;0.0;0.8;6.2;12.1;1.7;67;89;42;1.1;5.0;200;;;7.8;
24/01/2015;0.0;0.0;6.7;10.9;2.3;55;74;34;0.9;3.8;190;;;7.1;
25/01/2015;0.0;0.0;6.8;11.8;2.3;45;76;21;1.3;5.1;80;SSW;380;8.6;
26/01/2015;0.0;0.0;4.1;7.0;0.7;46;60;30;0.9;2.7;60;ENE;270;4.4;
27/01/2015;0.0;0.0;3.4;8.5;-0.4;56;73;23;1.0;4.0;70;ENE;300;6.1;
28/01/2015;0.0;0.0;4.4;9.8;0.4;47;68;20;1.1;4.9;140;SSW;280;8.6;
29/01/2015;0.0;0.0;2.8;7.2;-0.3;58;96;35;1.2;5.7;30;NNE;460;6.3;
30/01/2015;1.4;1.4;4.0;9.8;0.0;56;96;18;2.8;13.6;10;W;580;9.0;
31/01/2015;0.0;0.0;3.5;7.8;-0.2;52;70;28;1.2;5.5;30;NNE;300;8.9;
01/02/2015;0.0;0.0;5.0;11.1;-1.2;43;83;17;2.0;8.8;40;WNW;430;9.6;
02/02/2015;0.0;0.0;5.8;10.9;0.2;29;52;17;1.5;6.3;50;SSW;230;9.6;
03/02/2015;0.0;0.0;2.1;3.2;0.9;70;92;39;1.6;5.2;0;N;550;1.6;
