Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2020;0.0;0.0;5.5;10.1;2.0;73;90;47;1.1;4.7;60;NE;320;6.6;
02/01/2020;0.0;0.0;5.4;9.7;2.2;71;85;50;1.1;4.3;20;SSW;470;6.5;
03/01/2020;0.0;0.0;5.0;7.9;3.2;77;85;59;0.8;3.0;100;SW;380;3.0;
04/01/2020;0.0;0.0;7.0;12.5;2.5;65;89;41;1.3;4.1;90;SW;630;7.0;
05/01/2020;0.0;0.0;7.1;11.1;3.8;66;83;42;1.0;4.5;120;NNE;320;6.8;
06/01/2020;0.0;0.0;4.7;7.6;2.0;78;90;63;1.0;4.1;0;SSW;270;6.3;
07/01/2020;0.0;0.0;2.8;6.3;-0.8;85;99;69;1.1;4.6;30;SW;280;5.6;
08/01/2020;0.0;0.0;3.3;8.8;-1.0;83;99;56;1.1;3.1;50;SSW;530;7.0;
09/01/2020;0.0;0.0;4.9;9.7;1.5;74;90;51;0.8;3.2;40;SSW;380;6.8;
10/01/2020;0.0;0.0;5.9;10.8;2.5;72;87;52;0.9;3.0;110;SSW;240;5.3;
11/01/2020;0.0;0.0;6.8;12.6;3.0;68;89;41;0.9;3.6;80;SSW;460;7.2;
12/01/2020;0.0;0.0;5.7;10.4;2.4;68;82;46;0.8;3.4;40;NE;220;7.3;
13/01/2020;0.0;0.0;4.0;7.8;1.4;78;91;66;0.8;2.7;10;ENE;300;6.4;
14/01/2020;0.0;0.0;4.1;7.6;1.1;78;93;66;1.0;3.3;20;SSW;410;6.4;
15/01/2020;0.0;0.0;4.8;8.6;1.6;73;89;53;0.8;3.1;70;SSW;260;5.5;
16/01/2020;0.0;0.0;5.1;9.7;1.0;73;91;48;0.8;3.2;50;NE;200;7.0;
17/01/2020;0.0;0.0;5.9;9.3;1.7;73;93;53;0.8;5.6;110;NE;230;5.6;
18/01/2020;1.2;1.2;6.1;10.3;2.6;82;98;58;1.4;5.5;30;SW;400;8.0;
19/01/2020;0.0;0.0;4.4;8.7;0.7;69;99;35;0.9;3.3;30;N;250;6.9;
20/01/2020;0.0;0.0;5.3;8.6;2.9;56;72;37;1.1;5.7;10;N;310;6.2;
21/01/2020;0.0;0.0;3.7;6.6;1.0;63;76;47;0.9;3.3;20;ENE;250;4.4;
22/01/2020;0.0;0.0;4.9;10.3;0.7;63;82;35;1.1;3.3;90;SW;490;7.1;
23/01/2020;0.0;0.0;4.1;7.8;0.9;68;77;54;;;;;;;
24/01/2020;;;4.9;8.1;0.9;69;85;52;1.0;4.4;40;SW;230;4.6;
25/01/2020;0.0;0.0;6.5;10.1;3.6;65;80;43;0.9;3.9;40;ENE;220;7.2;
26/01/2020;0.0;0.0;5.8;10.0;2.6;71;86;53;0.9;4.2;50;SW;280;6.9;
27/01/2020;0.0;0.0;6.4;10.1;2.3;74;93;59;0.9;3.1;10;N;260;6.6;
28/01/2020;0.0;0.0;7.7;13.7;5.2;76;92;47;1.5;7.0;40;NNE;240;8.5;
29/01/2020;0.0;0.0;9.4;16.4;3.5;56;88;22;1.7;11.5;30;W;250;9.3;
30/01/2020;0.0;0.0;8.3;12.7;4.4;61;84;42;0.9;3.9;60;NNE;210;7.6;
31/01/2020;0.0;0.0;8.9;14.6;4.7;72;89;52;0.9;4.2;70;NNW;190;8.7;
01/02/2020;0.0;0.0;8.8;11.1;7.1;80;98;72;1.2;5.1;20;N;210;4.1;
02/02/2020;0.0;0.0;9.0;14.3;4.8;86;99;61;1.0;4.0;50;SW;310;7.9;
03/02/2020;0.0;0.0;15.3;26.3;6.0;57;99;16;2.5;13.5;60;W;470;9.0;
04/02/2020;0.0;0.0;10.7;16.7;5.0;42;99;11;3.2;15.6;0;WNW;370;10.3;
05/02/2020;0.0;0.0;9.8;16.4;3.9;26;57;8;1.7;9.5;20;ENE;280;11.0;
06/02/2020;0.0;0.0;6.3;10.2;3.1;37;53;22;1.2;5.1;30;ENE;220;7.6;
07/02/2020;0.0;0.0;6.6;12.6;2.3;45;63;24;0.9;3.3;30;SW;220;10.5;
08/02/2020;0.0;0.0;6.6;11.5;2.7;61;78;50;0.9;4.1;10;NNE;260;9.0;
09/02/2020;0.0;0.0;6.2;10.8;2.7;70;84;51;1.0;3.9;0;N;340;9.6;
10/02/2020;0.0;0.0;8.5;19.4;3.8;69;85;22;1.6;14.5;40;SSW;300;9.8;
11/02/2020;0.0;0.0;15.9;17.9;13.1;26;40;16;4.7;16.9;10;W;1010;11.9;
12/02/2020;0.0;0.0;12.2;16.7;6.7;21;42;7;2.5;13.0;0;W;250;12.2;
13/02/2020;0.0;0.0;7.9;11.7;3.5;43;63;28;1.2;4.5;10;NE;390;10.4;
14/02/2020;0.0;0.0;9.7;17.2;3.1;54;82;26;1.0;4.2;60;SW;210;11.6;
15/02/2020;0.0;0.0;9.3;14.0;5.2;55;71;38;1.1;5.5;60;NE;280;11.4;
16/02/2020;0.0;0.0;8.8;12.6;4.6;64;79;52;0.9;3.1;10;NNE;370;7.8;
17/02/2020;0.0;0.0;8.5;12.6;5.4;74;88;56;1.0;4.1;20;N;210;8.8;
18/02/2020;0.0;0.0;10.1;16.8;5.2;61;92;24;0.9;3.5;70;SW;250;11.9;
19/02/2020;0.0;0.0;10.0;16.8;5.3;46;89;12;1.6;11.8;40;SW;240;12.5;
20/02/2020;0.0;0.0;9.3;14.6;5.5;38;52;25;1.1;4.0;10;ENE;340;12.3;
21/02/2020;0.0;0.0;9.2;15.1;3.9;46;64;25;0.9;3.9;100;SSW;250;9.9;
22/02/2020;0.0;0.0;9.3;14.1;4.8;60;80;42;0.9;4.2;40;ENE;370;11.9;
23/02/2020;0.0;0.0;10.0;14.5;5.7;69;82;53;0.8;4.0;110;SSW;260;8.0;
24/02/2020;0.0;0.0;12.3;20.7;5.7;69;91;38;1.5;6.3;30;SW;290;13.7;
25/02/2020;0.0;0.0;10.1;12.5;8.2;84;93;70;1.2;3.4;10;NE;330;5.1;
26/02/2020;0.0;0.0;9.4;12.8;6.3;37;94;21;4.3;17.9;20;W;700;16.0;
27/02/2020;0.0;0.0;6.4;10.5;2.6;46;73;23;1.7;8.3;20;NNE;260;10.7;
28/02/2020;0.0;0.0;8.5;13.5;2.9;37;77;18;1.4;7.8;40;SSW;240;15.1;
29/02/2020;0.0;0.0;7.3;11.7;4.9;53;84;29;1.5;6.7;20;NNE;390;9.7;
01/03/2020;0.0;0.0;7.7;11.1;5.3;69;86;51;1.2;4.4;10;SSW;300;11.0;
02/03/2020;0.0;0.0;4.8;6.5;1.6;90;99;77;1.9;7.1;0;NNE;290;1.8;
03/03/2020;9.4;9.4;10.4;15.1;4.6;35;89;11;2.1;9.2;10;WNW;320;15.9;
04/03/2020;0.0;0.0;9.3;14.1;4.1;37;61;18;1.2;5.8;10;SSW;280;15.7;
05/03/2020;0.0;0.0;5.9;9.1;3.1;73;95;47;2.0;7.1;10;NE;590;7.5;
06/03/2020;2.0;2.0;6.0;10.7;3.1;77;94;51;1.1;5.7;30;SSW;230;10.2;
07/03/2020;0.0;0.0;10.1;16.7;3.7;44;83;16;1.4;9.3;80;SSW;270;17.2;
08/03/2020;0.0;0.0;9.5;13.8;4.4;42;67;26;1.1;4.6;20;ENE;170;14.3;
09/03/2020;0.0;0.0;8.5;12.0;5.8;65;75;46;1.5;5.8;10;SSW;330;9.7;
10/03/2020;0.0;0.0;10.8;16.9;4.4;49;84;21;1.0;4.4;50;SW;320;16.4;
11/03/2020;0.0;0.0;13.7;21.7;6.8;53;85;29;1.1;4.5;20;SW;270;17.3;
12/03/2020;0.0;0.0;12.1;14.7;8.9;80;97;67;1.2;4.8;0;N;280;8.1;
13/03/2020;0.0;0.0;14.0;18.4;10.6;72;90;51;1.2;6.1;20;SSW;260;12.9;
14/03/2020;0.0;0.0;10.2;12.8;9.0;81;94;72;1.8;8.6;20;NNE;420;2.2;
15/03/2020;0.2;0.0;9.5;11.0;7.9;68;87;52;1.1;4.8;0;NNE;370;5.8;
16/03/2020;0.0;0.2;10.9;14.2;8.5;58;74;42;0.9;4.2;20;E;300;9.7;
17/03/2020;0.0;0.0;11.8;18.1;6.5;56;77;35;0.9;4.5;60;NE;250;16.7;
18/03/2020;0.0;0.0;13.3;20.1;7.6;54;80;32;0.9;4.0;60;NE;290;17.9;
19/03/2020;0.0;0.0;15.0;20.9;9.4;48;72;25;1.0;5.1;30;NE;210;18.5;
20/03/2020;0.0;0.0;13.8;18.7;9.4;53;70;34;1.0;5.6;30;ENE;240;13.7;
21/03/2020;0.0;0.0;14.1;20.0;8.4;51;76;30;1.0;4.2;60;ENE;320;18.6;
22/03/2020;0.0;0.0;11.5;12.5;9.2;77;89;59;2.0;7.6;10;NE;590;4.3;
