Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2019;0.0;0.0;3.8;8.2;1.3;83;93;65;1.1;4.9;30;SSW;310;5.1;
02/01/2019;0.0;0.0;3.8;10.4;-1.0;69;95;38;1.6;5.3;50;SW;590;6.7;
03/01/2019;0.0;0.0;3.7;9.8;-0.8;49;73;21;0.9;4.0;150;;;6.9;
04/01/2019;0.0;0.0;2.0;7.5;-1.2;57;75;31;0.8;3.8;140;NNE;230;5.5;
05/01/2019;0.0;0.0;3.0;8.7;-1.4;59;81;33;1.5;5.7;20;SW;500;6.4;
06/01/2019;0.0;0.0;6.8;15.7;1.4;54;79;25;1.0;3.7;70;SW;280;7.1;
07/01/2019;0.0;0.0;5.1;13.2;1.8;65;85;26;1.2;4.2;60;SW;300;7.1;
08/01/2019;0.0;0.0;3.1;7.4;1.4;79;89;59;1.2;4.4;40;SSW;410;5.1;
09/01/2019;0.0;0.0;4.6;10.6;-1.5;51;94;12;1.3;7.9;40;N;260;6.9;
10/01/2019;0.0;0.0;5.0;10.0;1.2;34;52;19;1.5;5.0;20;SSW;530;7.5;
11/01/2019;0.0;0.0;4.0;9.1;-1.1;38;63;22;1.1;3.8;60;SSW;520;7.3;
12/01/2019;0.0;0.0;4.3;10.7;0.1;45;60;21;1.3;5.2;50;SW;410;7.3;
13/01/2019;0.0;0.0;6.4;13.4;1.4;55;69;32;1.3;6.6;30;SW;360;7.1;
14/01/2019;0.0;0.0;12.8;17.2;5.2;29;60;12;2.9;15.5;10;W;380;7.9;
15/01/2019;0.0;0.0;7.8;13.8;3.0;38;57;18;1.0;5.4;80;SSW;320;7.6;
