Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2013;0.0;0.0;4.1;6.8;1.5;65;77;47;0.9;3.2;20;ENE;250;3.9;
02/01/2013;0.0;0.0;4.7;8.6;1.7;72;85;51;1.0;4.4;60;N;290;5.4;
03/01/2013;0.0;0.0;5.2;10.0;1.4;69;86;45;0.9;4.2;130;SW;230;6.5;
04/01/2013;0.0;0.0;8.8;17.3;2.6;59;81;30;1.3;5.2;80;SW;780;6.7;
05/01/2013;0.0;0.0;10.0;16.9;5.4;54;73;29;1.4;5.2;80;SW;580;6.9;
06/01/2013;0.0;0.0;9.4;14.6;5.8;52;71;31;1.4;4.3;70;SW;690;4.4;
07/01/2013;0.0;0.0;7.9;14.3;3.3;62;91;34;1.2;4.9;60;NNE;400;6.0;
08/01/2013;0.0;0.0;4.1;5.5;1.4;89;97;80;1.1;5.3;80;SSW;240;0.6;
09/01/2013;0.0;0.0;3.3;4.0;2.5;88;91;84;1.2;4.9;10;N;300;0.8;
10/01/2013;0.0;0.0;5.4;9.6;3.0;77;88;57;1.4;4.9;20;SSW;460;6.4;
11/01/2013;0.0;0.0;3.7;9.2;0.4;85;95;63;1.3;5.4;10;SW;270;5.5;
12/01/2013;0.0;0.0;1.7;2.4;0.3;88;96;79;0.7;3.9;420;;;0.9;
13/01/2013;0.0;0.0;3.0;4.8;1.4;79;84;69;0.5;3.6;420;;;1.9;
14/01/2013;0.0;0.0;3.3;5.7;1.8;79;89;65;0.8;3.5;310;;;3.1;
15/01/2013;0.0;0.0;2.2;3.2;0.7;80;87;70;1.0;7.9;130;ENE;320;2.7;
16/01/2013;0.0;0.0;2.5;7.8;-1.2;59;88;20;1.3;5.9;20;SW;330;7.2;
17/01/2013;0.0;0.0;3.3;8.5;-1.3;32;67;14;1.9;10.7;10;W;370;7.3;
18/01/2013;0.0;0.0;2.9;8.1;-1.0;38;60;18;1.3;4.4;30;SW;490;7.6;
19/01/2013;0.0;0.0;1.9;4.3;0.4;62;91;35;1.1;5.0;0;ENE;560;2.4;
20/01/2013;2.2;1.2;2.1;3.9;0.4;87;93;78;0.8;3.4;40;SSW;340;2.6;
21/01/2013;1.0;2.0;4.5;8.6;2.2;81;94;60;1.4;4.6;30;SSW;560;6.5;
22/01/2013;0.0;0.0;5.6;12.1;1.8;68;92;32;1.0;3.7;20;ENE;320;7.7;
23/01/2013;0.0;0.0;3.6;5.1;1.9;84;96;67;1.5;6.0;10;NNE;470;1.3;
24/01/2013;6.8;6.0;5.8;11.0;2.6;72;89;42;1.7;5.5;10;SSW;590;8.3;
25/01/2013;0.0;0.8;4.5;11.0;1.3;75;95;41;1.3;5.1;10;NNE;300;8.2;
26/01/2013;0.0;0.0;3.9;7.4;1.2;72;93;51;1.1;4.5;0;N;320;6.7;
27/01/2013;0.0;0.0;2.5;5.2;-0.6;73;85;57;0.9;2.9;50;ENE;400;4.6;
28/01/2013;1.8;0.0;3.9;8.9;1.0;81;93;60;1.3;4.1;0;SSW;260;6.1;
29/01/2013;0.0;1.8;4.3;7.5;2.8;78;87;63;1.7;5.0;10;SSW;670;6.3;
30/01/2013;0.0;0.0;6.4;13.0;2.0;72;88;46;1.0;5.0;40;SW;250;7.9;
31/01/2013;0.0;0.0;8.4;17.6;1.7;66;94;12;1.2;5.5;50;SW;270;9.3;
01/02/2013;0.0;0.0;4.1;13.1;1.3;86;97;45;1.6;6.4;0;NNE;410;8.1;
02/02/2013;0.0;0.0;5.1;7.9;2.5;82;96;45;1.1;5.3;190;;;2.6;
03/02/2013;0.0;0.0;6.7;12.4;1.7;39;72;13;1.1;5.5;50;SW;340;8.8;
04/02/2013;0.0;0.0;5.7;10.9;1.0;40;58;19;1.1;3.8;40;SW;410;7.7;
05/02/2013;0.0;0.0;4.3;9.0;1.3;62;79;48;1.4;6.1;20;NNE;410;7.6;
06/02/2013;0.0;0.0;7.7;12.6;1.6;33;83;14;2.7;13.9;0;W;510;10.0;
07/02/2013;0.0;0.0;5.4;11.1;2.1;45;81;12;1.6;10.0;20;SW;250;8.7;
08/02/2013;0.0;0.0;4.4;8.7;0.6;25;40;12;1.5;5.7;50;SSW;240;7.8;
09/02/2013;0.0;0.0;3.9;8.7;-0.3;22;44;13;1.4;6.8;20;SW;230;10.7;
10/02/2013;0.0;0.0;1.8;6.4;-2.2;30;45;14;1.2;4.1;10;ENE;320;10.2;
11/02/2013;0.6;0.0;-0.8;1.0;-1.7;81;92;41;1.6;5.1;0;N;560;0.8;
12/02/2013;3.2;3.8;1.2;6.3;-2.2;70;83;48;1.4;4.6;0;SSW;260;8.7;
13/02/2013;0.0;0.0;2.7;9.0;-3.0;60;81;32;1.3;5.3;20;SSW;420;11.3;
14/02/2013;0.0;0.0;3.3;7.8;-2.5;52;86;21;1.3;4.5;10;SW;340;9.5;
15/02/2013;0.0;0.0;4.1;9.0;-0.2;48;65;28;1.1;4.8;50;SW;280;7.7;
16/02/2013;0.0;0.0;4.9;10.9;0.0;54;75;30;0.9;3.6;30;N;280;10.7;
17/02/2013;0.0;0.0;4.0;6.9;0.4;63;75;45;1.3;6.3;20;NE;440;5.3;
18/02/2013;0.0;0.0;5.9;9.7;2.6;59;74;39;1.3;6.4;20;SSW;300;11.1;
19/02/2013;0.0;0.0;5.2;10.7;0.4;55;79;27;1.2;4.9;10;SSW;280;11.7;
20/02/2013;0.0;0.0;4.1;6.8;1.0;67;81;58;1.4;4.6;10;N;360;4.8;
21/02/2013;0.0;0.0;1.8;3.6;0.1;84;91;77;2.6;8.9;0;NNE;760;2.0;
22/02/2013;0.0;0.0;0.4;1.7;-0.7;80;90;67;1.7;5.5;20;NNE;510;4.4;
23/02/2013;0.0;0.0;0.8;3.0;-1.9;68;86;50;1.6;7.6;10;SSW;230;4.7;
24/02/2013;2.8;0.0;1.2;2.5;-0.2;82;93;66;1.3;5.5;10;NW;260;1.5;
25/02/2013;2.8;5.6;1.8;3.9;0.3;88;94;73;1.1;9.1;100;N;510;3.5;
26/02/2013;2.4;2.0;6.0;11.8;1.3;62;93;32;1.6;5.9;40;SW;350;13.4;
27/02/2013;0.0;0.4;6.1;10.4;1.5;51;71;30;1.3;4.4;20;SW;400;7.6;
28/02/2013;0.0;0.0;7.0;9.9;5.2;73;80;62;1.0;3.5;20;N;310;4.2;
01/03/2013;0.2;0.2;8.3;11.1;5.0;66;81;51;1.2;5.1;50;SSW;550;7.7;
02/03/2013;0.0;0.0;7.8;13.0;3.6;69;85;47;0.9;4.0;70;N;220;7.9;
03/03/2013;0.0;0.0;8.4;14.5;3.2;64;86;26;1.1;4.6;30;SW;230;13.4;
04/03/2013;0.0;0.0;9.3;15.1;4.5;63;81;38;1.0;4.7;20;NE;300;12.5;
05/03/2013;0.0;0.0;7.4;9.9;5.0;62;80;43;1.6;6.2;20;ENE;460;6.5;
06/03/2013;4.8;0.0;5.7;6.7;4.6;88;92;78;0.8;6.1;460;;;1.9;
07/03/2013;23.2;21.4;8.9;11.6;6.0;83;93;68;0.1;8.8;1290;;;6.0;
08/03/2013;2.2;6.8;9.1;10.7;7.2;86;92;73;0.1;4.0;1320;;;2.5;
09/03/2013;7.4;9.4;7.9;11.1;4.8;83;93;69;0.4;4.6;870;;;5.8;
10/03/2013;0.0;0.0;9.3;16.5;4.1;81;96;47;0.5;5.2;730;;;13.2;
11/03/2013;0.0;0.0;10.5;16.5;6.1;78;96;47;0.9;4.8;440;;;12.9;
12/03/2013;6.2;6.2;9.6;11.8;7.9;79;94;62;1.5;5.1;20;NE;380;7.7;
13/03/2013;0.0;0.0;9.5;13.7;7.7;76;92;52;1.3;9.3;100;NE;330;7.4;
14/03/2013;0.0;0.0;8.3;12.5;4.8;38;81;15;2.2;11.0;20;W;210;16.9;
15/03/2013;0.0;0.0;6.5;11.2;2.7;18;32;11;1.5;5.6;0;ESE;210;17.2;
