Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2016;0.0;0.0;4.7;5.7;3.5;81;89;71;1.1;3.7;10;N;310;1.4;
02/01/2016;0.0;0.0;3.2;4.7;2.2;93;97;78;1.3;4.3;10;NNE;370;;
03/01/2016;0.8;0.8;2.1;3.1;1.2;94;99;89;1.5;5.1;40;ENE;260;1.2;
04/01/2016;1.4;0.6;2.2;3.2;0.9;89;98;82;1.2;3.9;20;ENE;260;1.5;
05/01/2016;0.0;0.8;3.1;4.0;1.7;84;97;78;1.3;4.7;10;SW;240;1.0;
06/01/2016;0.0;0.0;4.2;8.2;1.3;74;88;55;1.1;3.7;40;SSW;440;6.3;
07/01/2016;0.0;0.0;3.7;6.2;1.0;81;95;66;1.0;3.6;40;SSW;220;2.7;
08/01/2016;0.6;0.6;3.3;5.1;0.5;85;96;76;1.1;3.8;20;ENE;350;2.6;
09/01/2016;0.0;0.0;5.5;7.3;3.2;80;100;68;1.1;3.8;20;SSW;410;1.6;
10/01/2016;1.6;1.6;4.3;7.8;2.2;93;100;74;1.1;4.2;30;SW;460;4.5;
11/01/2016;0.0;0.0;7.4;11.0;4.7;79;97;35;1.8;9.3;30;SW;370;3.4;
12/01/2016;0.0;0.0;11.1;14.6;8.6;33;45;20;3.4;11.4;0;W;710;7.4;
13/01/2016;0.0;0.0;9.0;12.5;3.9;23;38;13;2.9;12.1;10;W;540;7.6;
14/01/2016;0.0;0.0;4.1;7.6;1.8;52;77;37;1.1;5.7;100;ENE;350;4.9;
15/01/2016;0.0;0.0;5.0;11.5;-0.5;39;82;8;1.8;11.5;20;SSW;230;7.9;
16/01/2016;0.0;0.0;5.8;10.4;0.3;26;48;14;1.3;9.0;60;W;170;7.9;
17/01/2016;0.0;0.0;5.0;9.5;1.0;24;37;12;1.4;5.2;40;SSW;290;8.1;
18/01/2016;0.0;0.0;1.6;4.5;-1.7;35;52;23;1.0;3.8;50;ENE;370;5.2;
19/01/2016;0.0;0.0;1.3;5.1;-1.3;40;59;23;1.0;4.0;10;SW;240;5.8;
20/01/2016;0.0;0.0;1.3;6.5;-2.7;44;63;21;1.0;3.8;0;ENE;370;7.4;
21/01/2016;0.0;0.0;1.2;5.5;-2.0;54;70;37;1.2;4.2;20;NNE;320;7.3;
22/01/2016;0.0;0.0;2.4;6.5;-1.3;57;72;40;0.9;3.2;20;ENE;280;6.7;
23/01/2016;0.0;0.0;3.7;7.9;-0.2;57;77;40;1.3;4.8;30;SW;360;7.2;
24/01/2016;0.0;0.0;4.3;10.1;-0.6;62;81;39;1.0;3.4;140;SSW;340;7.6;
25/01/2016;0.0;0.0;6.5;13.7;0.6;54;78;26;0.9;3.5;90;SSW;330;8.0;
26/01/2016;0.0;0.0;8.2;15.2;3.2;61;78;45;0.8;3.1;170;SSW;330;7.6;
27/01/2016;0.0;0.0;8.7;14.2;3.8;74;88;57;0.9;3.8;30;E;270;7.9;
28/01/2016;0.0;0.0;10.3;14.8;7.6;70;81;52;0.9;3.8;90;SSW;320;6.0;
29/01/2016;0.0;0.0;9.5;14.3;6.2;69;84;52;1.0;4.4;40;NNW;410;7.6;
30/01/2016;0.0;0.0;8.5;13.9;5.0;78;100;53;0.9;4.0;40;N;320;6.3;
31/01/2016;0.0;0.0;8.2;13.9;4.3;87;100;58;1.1;4.5;40;SSW;250;6.6;
01/02/2016;0.0;0.0;8.6;15.4;3.6;86;100;56;1.3;5.4;60;SW;360;4.9;
02/02/2016;0.0;0.0;7.6;9.5;5.7;97;100;89;1.1;3.9;20;NE;240;1.9;
03/02/2016;0.0;0.0;9.8;14.4;7.5;67;100;16;1.9;12.6;30;SSW;260;5.3;
04/02/2016;0.0;0.0;8.8;14.5;4.3;27;46;13;1.2;7.7;70;SSW;290;10.1;
05/02/2016;0.0;0.0;8.1;13.7;3.6;46;72;25;1.3;4.9;40;NNE;290;9.6;
06/02/2016;0.0;0.0;5.9;7.9;3.4;73;100;63;1.2;4.7;10;ENE;390;4.4;
07/02/2016;4.0;0.0;4.6;5.1;4.1;100;100;98;1.7;6.7;0;N;520;0.7;
08/02/2016;9.4;13.4;6.5;12.0;2.1;84;100;52;1.1;4.4;30;SW;410;8.9;
09/02/2016;0.0;0.0;6.0;8.3;4.1;94;100;40;1.2;7.9;60;N;290;1.4;
10/02/2016;0.0;0.0;9.2;12.3;6.0;25;40;13;4.0;14.6;0;W;910;11.6;
11/02/2016;0.0;0.0;6.8;12.1;1.6;39;61;19;1.1;4.5;10;ENE;290;10.9;
12/02/2016;0.0;0.0;3.9;6.5;1.9;71;100;47;1.3;6.0;10;ENE;310;3.5;
