Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Neve Fresca ( cm );Neve al Suolo ( cm );Neve Altezza Massima ( cm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2012;0.0;0.0;0;0;;3.6;10.6;-1.6;63;81;38;;;;;;4.1;
02/01/2012;0.0;0.0;0;0;;3.3;4.7;1.8;92;98;73;;;;;;;
03/01/2012;2.4;2.4;0;0;;2.7;10.8;-0.5;91;100;54;;;;;;4.5;
04/01/2012;0.2;0.2;0;0;;2.4;8.4;-1.7;87;100;59;;;;;;3.9;
05/01/2012;0.0;0.0;0;0;;6.1;13.6;-1.1;69;96;35;;;;;;3.9;
06/01/2012;0.0;0.0;0;0;;8.2;13.8;0.8;31;53;13;;;;;;4.9;
07/01/2012;0.0;0.0;0;0;;4.1;14.5;-1.0;47;65;23;;;;;;3.8;
08/01/2012;0.0;0.0;0;0;;7.6;15.6;2.2;48;80;22;;;;;;4.9;
09/01/2012;0.0;0.0;0;0;;4.7;13.0;-1.5;62;91;29;;;;;;4.9;
10/01/2012;0.0;0.0;0;0;;4.9;13.8;-1.3;60;89;29;;;;;;5.0;
11/01/2012;0.0;0.0;0;0;;3.7;12.3;-1.0;74;97;41;;;;;;4.8;
12/01/2012;0.0;0.0;0;0;;2.8;10.7;-1.8;79;95;47;;;;;;4.5;
13/01/2012;0.0;0.0;0;0;;3.4;11.0;-1.6;84;99;55;;;;;;4.5;
14/01/2012;0.0;0.0;0;0;;1.8;9.9;-3.1;87;100;57;;;;;;4.9;
15/01/2012;0.2;0.2;0;0;;-0.7;6.4;-4.0;87;98;52;;;;;;5.3;
16/01/2012;0.0;0.0;0;0;;-1.8;4.7;-5.3;90;98;63;;;;;;5.2;
17/01/2012;0.2;0.2;0;0;;-1.4;5.8;-4.9;87;97;56;;;;;;5.2;
18/01/2012;0.0;0.0;0;0;;-2.6;4.9;-6.4;90;96;63;;;;;;4.8;
19/01/2012;0.2;0.2;0;0;;-0.5;4.7;-4.9;87;97;63;;;;;;2.5;
20/01/2012;0.0;0.0;0;0;;7.6;17.0;-2.1;56;97;26;;;;;;5.7;
21/01/2012;0.0;0.0;0;0;;7.0;12.9;1.2;63;95;33;;;;;;5.0;
22/01/2012;0.0;0.0;0;0;;5.8;15.3;0.8;79;97;44;;;;;;5.0;
23/01/2012;0.0;0.0;0;0;;4.1;10.9;1.1;91;100;64;;;;;;4.7;
24/01/2012;0.2;0.0;0;0;;4.0;10.1;0.5;89;100;62;;;;;;5.3;
25/01/2012;0.0;0.2;0;0;;2.4;11.2;-2.2;66;95;25;;;;;;6.4;
26/01/2012;0.0;0.0;0;0;;1.5;9.4;-2.9;68;89;35;;;;;;6.0;
27/01/2012;0.0;0.0;0;0;;2.6;7.2;-1.9;68;86;45;;;;;;4.3;
28/01/2012;0.0;0.0;0;0;;1.2;3.9;0.2;86;97;67;;;;;;0.9;
29/01/2012;4.2;3.8;14;12;;0.5;1.0;0.1;98;99;96;;;;;;;
30/01/2012;5.2;4.6;9;21;;0.5;3.2;-2.5;82;96;58;;;;;;2.5;
31/01/2012;11.8;12.8;0;21;;-1.5;0.2;-3.4;86;92;70;;;;;;1.3;
01/02/2012;1.2;1.2;6;24;;-2.8;-0.9;-4.6;88;94;74;;;;;;;
02/02/2012;0.4;0.4;10;34;;-2.0;1.3;-5.0;83;95;65;;;;;;;
03/02/2012;3.2;3.2;3;36;;-4.4;1.3;-8.8;77;95;52;;;;;;2.6;
04/02/2012;;;0;34;;-5.7;-0.4;-10.3;75;90;55;;;;;;2.1;
05/02/2012;;;0;33;;-6.1;1.4;-11.0;76;91;49;;;;;;3.5;
06/02/2012;;;0;31;;-7.3;0.9;-12.5;75;90;42;;;;;;9.1;
07/02/2012;;;0;30;;-5.3;-0.2;-12.8;71;92;49;;;;;;2.7;
08/02/2012;;;1;27;;0.4;7.3;-4.1;73;92;42;;;;;;5.1;
09/02/2012;0.0;0.0;0;27;;-2.3;4.8;-6.6;79;94;50;;;;;;8.3;
10/02/2012;0.2;0.2;1;27;;-2.3;1.8;-5.4;71;94;46;;;;;;8.3;
11/02/2012;0.0;0.0;1;26;;-2.8;0.4;-4.7;73;86;57;;;;;;6.0;
12/02/2012;0.0;0.0;1;26;;-3.1;2.2;-7.5;73;92;45;;;;;;7.1;
13/02/2012;0.0;0.0;0;26;;-3.2;3.5;-9.2;71;92;45;;;;;;10.1;
14/02/2012;0.0;0.0;0;26;;-2.0;7.2;-9.2;69;93;33;;;;;;10.4;
15/02/2012;0.0;0.0;0;26;;2.5;11.5;-5.4;53;85;25;;;;;;11.1;
16/02/2012;0.0;0.0;0;23;;4.2;15.6;-1.5;61;92;23;;;;;;11.3;
17/02/2012;0.0;0.0;0;22;;3.3;10.8;-2.3;72;94;44;;;;;;10.0;
18/02/2012;0.0;0.0;0;21;;3.0;8.6;-2.1;78;96;57;;;;;;3.5;
19/02/2012;0.0;0.0;0;17;;4.7;11.2;0.6;78;94;55;;;;;;7.7;
20/02/2012;0.0;0.0;0;16;;3.8;8.7;2.2;86;95;64;;;;;;4.2;
21/02/2012;0.0;0.0;0;15;;4.7;10.2;-0.5;71;94;38;;;;;;10.6;
22/02/2012;0.0;0.0;0;12;;4.0;13.0;-1.9;69;97;31;;;;;;12.5;
23/02/2012;0.0;0.0;0;6;;6.5;14.6;-0.6;54;88;23;;;;;;12.1;
24/02/2012;0.0;0.0;0;1;;9.4;20.2;1.1;55;87;28;;;;;;12.1;
25/02/2012;0.0;0.0;2;3;;12.2;22.7;4.4;61;83;26;;;;;;12.6;
26/02/2012;0.0;0.0;0;0;;11.2;21.5;4.5;53;97;16;;;;;;13.1;
27/02/2012;0.0;0.0;0;0;;8.7;17.5;1.5;38;68;14;;;;;;13.9;
28/02/2012;0.0;0.0;0;0;;7.2;16.2;-0.1;56;86;29;;;;;;12.3;
29/02/2012;0.0;0.0;0;0;;11.6;25.0;3.1;61;90;26;;;;;;12.1;
01/03/2012;0.0;0.0;0;0;;12.2;22.6;4.8;74;100;36;;;;;;12.1;
02/03/2012;0.0;0.0;0;0;;13.5;22.8;5.6;71;100;39;;;;;;12.2;
03/03/2012;0.0;0.0;0;0;;12.0;20.5;5.2;78;100;44;;;;;;12.1;
04/03/2012;14.2;4.6;0;0;;12.8;19.9;9.7;79;98;45;;;;;;10.4;
05/03/2012;3.8;13.0;0;0;;8.2;10.2;2.2;88;99;67;;;;;;3.0;
06/03/2012;14.8;2.6;0;0;;3.6;5.1;0.8;94;98;86;;;;;;0.6;
07/03/2012;10.2;22.8;0;0;;7.9;14.6;1.2;71;99;40;;;;;;14.4;
08/03/2012;0.0;0.0;0;0;;10.0;17.1;3.8;60;90;28;;;;;;12.3;
09/03/2012;0.2;0.0;0;0;;8.5;13.9;5.4;52;68;35;;;;;;9.4;
10/03/2012;0.2;0.4;0;0;;7.5;15.1;0.3;59;88;28;;;;;;15.5;
11/03/2012;0.0;0.0;0;0;;9.1;17.6;0.7;61;93;30;;;;;;15.1;
12/03/2012;0.0;0.0;0;0;;13.9;25.4;5.0;53;88;20;;;;;;14.2;
13/03/2012;0.0;0.0;0;0;;12.3;21.3;4.7;63;93;32;;;;;;15.0;
14/03/2012;0.0;0.0;0;0;;12.1;21.8;4.4;68;99;36;;;;;;15.0;
15/03/2012;0.0;0.0;0;0;;12.9;23.1;5.4;70;98;37;;;;;;13.5;
16/03/2012;0.0;0.0;0;0;;12.8;21.1;6.1;73;99;42;;;;;;13.3;
17/03/2012;0.0;0.0;0;0;;12.4;17.8;8.8;74;92;55;;;;;;7.5;
18/03/2012;0.0;0.0;0;0;;10.9;14.2;8.8;82;95;69;;;;;;5.5;
19/03/2012;0.0;0.0;0;0;;10.5;16.8;6.0;73;100;41;;;;;;13.1;
20/03/2012;3.0;2.8;0;0;;11.2;17.2;4.5;59;96;27;;;;;;15.6;
21/03/2012;0.0;0.2;0;0;;14.3;21.4;8.2;50;79;29;;;;;;16.6;
22/03/2012;0.0;0.0;0;0;;13.6;22.2;6.1;59;89;29;;;;;;16.3;
23/03/2012;0.0;0.0;0;0;;12.5;19.5;6.5;62;90;31;;;;;;7.9;
24/03/2012;0.0;0.0;0;0;;13.7;22.4;4.9;55;88;25;;;;;;16.7;
25/03/2012;0.0;0.0;0;0;;13.1;20.6;7.6;59;82;35;;;;;;10.5;
26/03/2012;0.0;0.0;0;0;;14.7;24.3;7.2;51;85;19;;;;;;18.3;
27/03/2012;0.0;0.0;0;0;;14.8;24.2;6.4;48;80;20;;;;;;18.2;
28/03/2012;0.0;0.0;0;0;;15.4;24.9;6.5;50;84;23;;;;;;17.7;
29/03/2012;0.0;0.0;0;0;;17.2;26.9;7.9;46;75;18;;;;;;18.6;
30/03/2012;0.0;0.0;0;0;;17.6;28.1;8.8;48;84;20;;;;;;19.0;
31/03/2012;0.0;0.0;0;0;;17.3;26.5;7.9;50;84;18;;;;;;19.2;
01/04/2012;0.0;0.0;0;0;;15.6;24.4;7.7;59;95;27;;;;;;19.2;
02/04/2012;0.0;0.0;0;0;;12.1;15.3;10.6;54;67;39;;;;;;6.1;
03/04/2012;0.0;0.0;0;0;;13.0;17.3;10.2;62;81;44;;;;;;7.4;
04/04/2012;0.0;0.0;0;0;;11.5;13.0;10.3;90;98;79;;;;;;2.7;
05/04/2012;27.0;26.4;0;0;;13.0;19.1;9.6;85;99;58;;;;;;10.4;
06/04/2012;0.0;0.6;0;0;;14.6;23.1;10.0;81;99;43;;;;;;15.8;
07/04/2012;23.6;23.4;0;0;;13.6;20.0;8.9;85;100;49;;;;;;12.8;
08/04/2012;9.8;9.6;0;0;;12.0;19.1;3.0;62;100;27;;;;;;20.0;
09/04/2012;0.0;0.4;0;0;;9.0;16.1;1.8;62;85;35;;;;;;17.9;
10/04/2012;0.0;0.0;0;0;;7.7;10.4;5.0;81;95;60;;;;;;2.9;
11/04/2012;21.6;10.6;0;0;;7.4;12.7;3.3;84;97;60;;;;;;7.7;
12/04/2012;0.6;11.4;0;0;;10.9;19.9;2.4;77;100;30;;;;;;19.6;
13/04/2012;6.8;1.2;0;0;;10.3;14.5;8.3;89;98;69;;;;;;4.9;
14/04/2012;13.4;12.0;0;0;;10.2;13.4;8.2;90;99;70;;;;;;5.9;
15/04/2012;25.0;15.0;0;0;;8.4;10.2;7.3;93;98;80;;;;;;2.9;
16/04/2012;6.2;23.0;0;0;;11.0;14.9;7.3;79;98;52;;;;;;6.3;
17/04/2012;0.6;1.0;0;0;;12.0;19.7;5.3;69;100;32;;;;;;16.9;
18/04/2012;4.6;0.0;0;0;;9.5;13.5;6.1;86;98;66;;;;;;8.8;
19/04/2012;0.2;4.8;0;0;;8.5;10.3;5.9;91;98;84;;;;;;2.1;
20/04/2012;0.6;0.4;0;0;;12.2;20.0;6.2;70;98;21;;;;;;18.9;
21/04/2012;0.0;0.2;0;0;;12.4;21.8;3.7;70;98;27;;;;;;23.3;
22/04/2012;0.2;0.2;0;0;;13.8;21.5;5.8;49;99;14;;;;;;24.3;
23/04/2012;0.0;0.0;0;0;;11.4;18.3;6.8;74;97;47;;;;;;13.9;
24/04/2012;4.2;1.4;0;0;;13.3;21.1;7.5;67;99;18;;;;;;22.5;
25/04/2012;0.0;2.8;0;0;;12.9;20.0;4.9;72;99;41;;;;;;17.0;
26/04/2012;0.0;0.0;0;0;;13.1;17.3;9.2;78;94;59;;;;;;8.3;
27/04/2012;0.0;0.0;0;0;;16.8;23.6;11.3;67;92;40;;;;;;18.1;
28/04/2012;0.0;0.0;0;0;;18.2;26.4;10.0;70;100;40;;;;;;16.2;
29/04/2012;3.4;0.0;0;0;;15.7;20.3;10.0;86;98;66;;;;;;7.3;
30/04/2012;0.0;3.4;0;0;;12.4;15.7;8.8;94;100;81;;;;;;4.4;
01/05/2012;30.6;30.6;0;0;;12.8;16.8;10.3;94;100;76;;;;;;4.9;
02/05/2012;35.4;33.6;0;0;;13.8;21.0;9.6;86;100;54;;;;;;15.0;
03/05/2012;0.8;2.6;0;0;;16.7;25.8;7.9;70;100;31;;;;;;26.0;
04/05/2012;0.0;0.0;0;0;;16.4;23.3;8.8;75;98;47;;;;;;22.0;
05/05/2012;1.0;1.0;0;0;;15.5;23.5;10.0;81;97;47;;;;;;19.7;
06/05/2012;11.0;11.0;0;0;;16.0;21.5;11.0;76;97;50;;;;;;17.3;
07/05/2012;0.4;0.4;0;0;;17.3;26.1;9.3;67;100;34;;;;;;22.1;
08/05/2012;0.0;0.0;0;0;;16.0;21.4;10.6;80;98;59;;;;;;12.2;
