Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Neve Fresca ( cm );Neve al Suolo ( cm );Neve Altezza Massima ( cm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2013;0.0;0.0;0;0;;2.4;7.0;-2.1;77;97;50;;;;;;3.3;
02/01/2013;0.0;0.0;0;0;;3.1;8.9;-0.6;82;97;54;;;;;;4.0;
03/01/2013;0.0;0.0;0;0;;2.4;10.4;-1.7;84;99;47;;;;;;4.5;
04/01/2013;0.2;0.2;0;0;;6.5;17.2;0.0;70;95;32;0.1;3.3;1100;;;4.7;
05/01/2013;0.0;0.0;0;0;;7.6;17.6;1.7;65;92;29;0.1;3.1;1040;;;4.9;
06/01/2013;0.0;0.0;0;0;;7.2;14.4;2.9;64;88;33;0.1;3.0;1140;;;3.5;
07/01/2013;0.0;0.0;0;0;;5.3;14.2;-0.2;75;97;35;0.1;3.2;1180;;;4.6;
08/01/2013;0.2;0.0;0;0;;4.0;5.3;1.3;93;99;82;0.3;3.6;780;;;;
09/01/2013;0.0;0.2;0;0;;3.3;4.0;2.6;90;94;84;0.3;2.8;660;;;0.6;
10/01/2013;0.0;0.0;0;0;;4.8;10.6;0.7;82;96;55;0.2;3.5;810;;;5.2;
11/01/2013;0.2;0.0;0;0;;2.6;9.6;-1.0;91;99;63;;;;;;4.7;
12/01/2013;0.0;0.2;0;0;;1.6;2.1;0.2;92;98;82;0.2;3.3;740;;;0.7;
13/01/2013;0.0;0.0;0;0;;2.8;5.3;1.3;81;91;68;0.2;2.6;1000;;;1.6;
14/01/2013;0.0;0.0;0;0;;2.8;6.2;-0.2;84;95;65;0.1;2.6;1050;;;2.7;
15/01/2013;0.0;0.0;0;0;;1.2;4.3;-1.9;88;97;74;;;;;;2.2;
16/01/2013;0.0;0.0;0;0;;0.8;8.4;-3.9;69;97;21;;;;;;5.7;
17/01/2013;0.0;0.0;0;0;;1.7;8.8;-4.7;41;82;15;0.6;6.9;630;;;5.4;
18/01/2013;0.0;0.0;0;0;;1.0;9.1;-4.8;48;77;18;0.2;3.6;970;;;6.1;
19/01/2013;0.0;0.0;0;0;;1.0;4.7;-1.7;68;94;38;0.1;3.3;1240;;;2.1;
20/01/2013;0.4;0.4;10;10;;2.0;4.2;0.2;91;97;80;0.1;3.1;1140;;;2.0;
21/01/2013;7.2;7.0;0;4;;4.1;8.6;1.7;86;97;63;0.2;4.4;1010;;;5.0;
22/01/2013;0.0;0.2;0;0;;3.9;13.2;-0.3;78;98;33;0.2;3.3;980;;;6.1;
23/01/2013;0.0;0.0;0;0;;3.2;5.0;0.7;89;98;71;0.3;3.9;770;;;1.1;
24/01/2013;9.4;8.6;0;0;;4.9;11.5;0.0;78;96;46;0.2;3.3;910;;;6.8;
25/01/2013;0.0;0.8;0;0;;3.2;11.7;-1.4;84;99;42;;;;;;6.6;
26/01/2013;0.0;0.0;0;0;;2.7;8.4;-1.2;83;98;49;;;;;;6.1;
27/01/2013;0.0;0.0;0;0;;1.3;5.5;-2.5;83;98;57;;;;;;4.0;
28/01/2013;3.0;0.2;0;0;;3.7;9.4;0.6;84;96;62;0.3;3.5;720;;;5.5;
29/01/2013;0.4;3.2;0;0;;4.2;7.8;2.4;80;89;64;0.3;3.3;490;;;5.4;
30/01/2013;0.0;0.0;0;0;;5.1;13.5;-0.6;81;98;47;;;;;;6.7;
31/01/2013;0.0;0.0;0;0;;6.7;18.7;-1.1;74;99;19;0.2;2.9;890;;;7.6;
01/02/2013;0.2;0.2;0;0;;3.9;13.3;0.3;90;100;46;0.5;4.5;480;;;6.6;
02/02/2013;0.4;0.2;0;0;;4.5;8.4;1.0;86;98;66;0.2;3.4;1040;;;2.3;
03/02/2013;0.0;0.2;0;0;;4.2;13.0;-2.3;50;85;13;0.2;2.7;870;;;7.3;
04/02/2013;0.0;0.0;0;0;;3.9;11.6;-2.2;49;71;20;0.1;2.8;1000;;;6.9;
05/02/2013;0.0;0.0;0;0;;3.1;10.4;-1.9;69;90;50;0.3;3.5;810;;;6.8;
06/02/2013;0.2;0.2;0;0;;6.6;14.2;-0.5;39;93;15;1.1;9.9;340;;;9.1;
07/02/2013;0.0;0.0;0;0;;4.1;12.1;-1.5;51;93;13;0.5;8.0;810;;;7.9;
08/02/2013;0.0;0.0;0;0;;2.5;9.7;-3.0;33;59;13;0.2;4.5;920;;;6.9;
09/02/2013;0.0;0.0;0;0;;2.7;9.8;-3.6;28;58;13;0.3;5.4;640;;;10.4;
10/02/2013;0.0;0.0;0;0;;0.2;7.3;-6.3;38;64;14;0.2;4.0;970;;;9.6;
11/02/2013;0.0;0.0;9;9;;-0.9;0.1;-2.5;82;93;46;;;;;;;
12/02/2013;1.0;1.0;7;16;;0.7;7.3;-3.4;72;93;46;;;;;;7.3;
13/02/2013;6.8;6.8;0;9;;1.3;10.0;-4.8;69;94;32;;;;;;11.1;
14/02/2013;0.0;0.0;0;5;;1.5;8.0;-5.1;61;95;28;;;;;;9.1;
15/02/2013;0.2;0.2;0;2;;2.2;10.2;-3.3;59;83;28;0.2;3.6;970;;;7.4;
16/02/2013;0.0;0.0;0;0;;2.9;11.9;-3.2;65;91;31;;;;;;10.6;
17/02/2013;0.0;0.0;0;0;;2.5;7.9;-2.8;76;93;48;;;;;;4.8;
