Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2012;0.0;0.0;5.3;10.1;1.8;54;69;36;0.7;3.8;170;;;6.3;
02/01/2012;0.0;0.0;3.7;5.1;2.0;89;97;69;0.5;3.9;720;;;;
03/01/2012;1.2;1.2;3.9;10.7;-0.6;85;100;48;0.6;4.3;520;;;6.8;
04/01/2012;0.0;0.0;4.4;9.4;0.9;75;90;52;1.1;6.5;350;;;5.4;
05/01/2012;0.0;0.0;7.4;14.2;1.6;61;85;30;1.8;11.9;200;;;6.4;
06/01/2012;0.0;0.0;9.4;13.1;5.4;26;43;10;2.2;13.3;0;WNW;290;8.0;
07/01/2012;0.0;0.0;6.2;14.8;1.6;38;55;19;1.6;11.4;80;SW;500;5.4;
08/01/2012;0.0;0.0;10.0;15.4;5.3;36;60;17;1.2;12.3;200;;;7.7;
09/01/2012;0.0;0.0;7.3;12.5;2.6;49;72;25;1.1;5.2;240;;;7.6;
10/01/2012;0.0;0.0;7.4;13.9;2.7;48;67;26;1.2;4.1;60;SW;640;7.8;
11/01/2012;0.0;0.0;6.5;11.2;3.3;58;76;37;0.8;4.5;100;N;390;7.3;
12/01/2012;0.0;0.0;5.2;10.0;1.6;65;80;44;0.7;2.7;290;;;6.6;
13/01/2012;0.0;0.0;5.8;11.2;1.1;71;87;51;0.4;3.0;720;;;6.5;
14/01/2012;0.0;0.0;3.6;9.7;-0.8;81;100;52;0.4;3.5;780;;;7.4;
15/01/2012;0.0;0.0;1.0;6.2;-3.1;79;98;48;;;;;;7.6;
16/01/2012;0.0;0.0;-0.7;4.5;-3.9;86;98;55;;;;;;7.5;
17/01/2012;0.0;0.0;-0.2;5.8;-4.3;82;99;51;;;;;;7.9;
18/01/2012;0.0;0.0;-1.0;4.6;-4.5;85;96;62;;;;;;7.8;
19/01/2012;0.0;0.0;1.1;4.9;-3.4;79;97;60;;;;;;3.4;
20/01/2012;0.0;0.0;8.5;16.9;-0.2;49;87;22;3.7;15.8;190;;;8.4;
21/01/2012;0.0;0.0;8.3;13.3;3.4;56;84;29;1.4;15.5;230;;;7.0;
22/01/2012;0.0;0.0;8.0;16.0;3.1;67;85;37;0.5;4.3;710;;;7.2;
23/01/2012;0.0;0.0;5.6;10.7;2.9;85;98;60;;;;;;6.2;
24/01/2012;0.0;0.0;5.2;10.4;1.8;82;100;51;;;;;;7.1;
25/01/2012;0.0;0.0;4.9;9.6;1.1;52;81;23;0.9;4.1;160;;;9.0;
26/01/2012;0.0;0.0;3.8;8.4;0.7;55;71;35;0.9;4.4;240;;;8.4;
27/01/2012;0.0;0.0;3.6;6.6;0.9;61;72;45;1.0;9.7;70;ENE;360;5.5;
28/01/2012;0.0;0.0;1.9;4.0;0.3;83;99;64;;;;;;1.0;
29/01/2012;24.6;11.8;0.4;1.1;0.1;100;100;97;;;;;;0.6;
30/01/2012;8.8;21.6;0.9;2.1;-0.1;79;97;59;;;;;;4.0;
31/01/2012;0.0;0.0;-1.2;0.6;-2.8;85;94;70;;;;;;2.1;
01/02/2012;0.4;0.4;-2.9;-1.6;-4.7;89;95;78;;;;;;2.6;
02/02/2012;1.0;1.0;-2.0;-0.3;-2.8;85;95;70;;;;;;0.6;
03/02/2012;7.0;7.0;-3.2;-1.0;-5.8;71;84;54;;;;;;4.7;
04/02/2012;0.0;0.0;-4.5;-1.6;-7.7;71;85;60;0.6;3.1;390;;;4.9;
05/02/2012;0.0;0.0;-5.0;-0.6;-7.4;74;88;57;;;;;;7.2;
06/02/2012;0.0;0.0;-5.6;-0.4;-9.0;71;85;48;;;;;;11.2;
07/02/2012;0.0;0.0;-4.4;-0.7;-10.2;68;87;48;1.2;7.0;70;SW;290;5.3;
08/02/2012;0.0;0.0;1.1;5.3;-1.7;70;92;43;;;;;;6.5;
09/02/2012;0.0;0.0;-0.7;3.4;-4.4;73;90;53;;;;;;10.4;
10/02/2012;0.0;0.0;-2.0;-0.1;-4.0;68;88;45;;;;;;9.4;
11/02/2012;0.0;0.0;-2.9;-0.8;-4.3;75;86;64;;;;;;7.1;
12/02/2012;0.0;0.0;-2.7;0.3;-4.4;71;89;50;;;;;;9.0;
13/02/2012;0.0;0.0;-2.2;2.4;-5.9;67;85;48;;;;;;11.6;
