Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2014;0.0;0.0;3.6;8.4;-0.1;67;83;49;0.8;3.2;80;E;370;5.9;
02/01/2014;0.0;0.0;3.2;5.6;1.8;75;87;63;1.0;4.3;20;E;280;4.0;
03/01/2014;0.0;0.0;4.7;7.3;2.3;73;81;64;0.9;3.7;90;SSW;380;2.6;
04/01/2014;0.6;0.0;4.4;5.2;3.6;86;92;74;0.9;4.9;80;E;210;0.7;
05/01/2014;7.0;6.4;6.2;10.9;3.8;79;89;60;1.5;5.3;40;SSW;770;5.1;
06/01/2014;0.0;1.2;7.1;12.5;2.6;65;84;40;0.8;4.3;60;SSW;260;6.4;
07/01/2014;0.0;0.0;6.5;10.5;3.8;70;79;53;0.6;2.4;130;E;260;4.5;
08/01/2014;0.0;0.0;6.2;10.1;3.3;73;84;55;0.8;2.9;190;;;4.3;
09/01/2014;0.0;0.0;6.6;10.7;4.1;74;83;59;0.8;3.3;130;SSW;420;4.6;
10/01/2014;0.0;0.0;8.7;12.1;5.2;71;80;59;1.0;3.5;30;SSW;440;3.2;
11/01/2014;0.0;0.0;9.0;9.6;7.9;80;86;74;0.9;3.2;70;SSW;440;0.9;
12/01/2014;0.0;0.0;8.2;13.1;4.3;78;92;58;0.8;3.4;200;;;6.5;
13/01/2014;0.0;0.0;4.4;5.1;3.8;94;95;90;1.1;4.7;0;E;320;0.8;
14/01/2014;8.6;6.8;4.6;6.0;2.8;83;92;75;1.3;5.1;10;SSW;420;1.5;
15/01/2014;0.0;1.8;5.0;10.7;2.0;77;91;49;1.1;3.8;20;SSW;430;6.4;
16/01/2014;0.0;0.0;4.3;6.3;2.4;82;91;72;1.3;4.4;0;E;620;2.1;
17/01/2014;1.8;0.8;3.8;5.4;2.3;85;91;76;1.2;3.2;0;E;540;2.2;
18/01/2014;0.0;1.0;5.2;5.8;4.7;85;89;76;0.8;3.9;100;WNW;230;1.0;
19/01/2014;14.0;9.4;5.8;6.5;5.0;91;94;85;0.7;2.5;110;WNW;200;;
20/01/2014;11.4;16.0;7.6;9.6;6.0;85;92;76;1.2;4.6;50;SSW;640;3.1;
21/01/2014;0.0;0.0;9.6;15.4;5.8;67;90;35;1.2;6.0;30;SSW;450;6.6;
22/01/2014;0.0;0.0;8.1;13.5;4.6;62;77;38;0.7;3.5;100;E;310;7.6;
23/01/2014;0.0;0.0;7.4;11.6;4.5;69;86;50;0.9;3.3;60;E;280;5.3;
24/01/2014;0.0;0.0;6.9;12.1;3.1;47;86;13;1.2;8.2;100;E;180;8.6;
25/01/2014;0.0;0.0;6.3;12.3;1.0;40;64;22;0.9;4.7;110;SSW;400;8.4;
26/01/2014;0.0;0.0;6.7;12.3;2.2;49;67;31;1.6;7.9;30;SSW;290;8.1;
27/01/2014;0.0;0.0;5.2;9.2;2.2;70;88;51;1.2;5.1;10;E;280;6.8;
28/01/2014;0.0;0.0;3.4;7.2;0.3;75;90;56;1.1;4.4;30;SSW;450;7.9;
29/01/2014;0.0;0.0;1.5;2.8;0.4;86;93;77;1.0;4.8;10;E;230;1.2;
30/01/2014;6.6;4.2;1.4;2.4;0.5;92;94;90;0.9;3.8;90;SSW;300;;
31/01/2014;21.0;21.0;4.3;6.7;1.7;85;91;75;1.3;3.7;0;SSW;680;3.5;
01/02/2014;0.0;2.4;5.1;6.9;2.7;81;90;65;1.2;4.0;20;SSW;870;2.4;
02/02/2014;1.8;1.8;6.0;8.2;4.5;87;93;81;1.1;4.5;70;SSW;550;2.7;
03/02/2014;3.0;0.2;6.3;7.1;5.7;89;92;85;0.9;4.2;70;WNW;380;1.3;
04/02/2014;17.8;18.4;5.6;6.1;5.2;93;95;89;1.2;4.4;0;ENE;380;1.0;
05/02/2014;5.2;7.4;4.5;6.0;1.2;91;94;88;1.2;6.6;50;E;390;1.2;
06/02/2014;13.0;13.0;6.1;11.4;2.1;76;94;53;1.4;4.8;10;SSW;640;9.4;
07/02/2014;0.8;0.0;4.8;5.5;3.5;85;91;78;1.2;4.7;30;SSW;250;1.0;
08/02/2014;8.4;9.2;4.0;6.7;1.3;85;93;69;1.1;4.9;20;E;370;4.4;
09/02/2014;0.0;0.0;8.0;14.1;3.6;53;88;14;2.2;10.4;20;SSW;430;11.0;
10/02/2014;1.0;0.0;4.2;6.5;2.0;80;92;46;1.6;6.8;10;NE;380;1.0;
11/02/2014;9.0;10.0;6.4;12.5;1.9;76;90;42;1.4;4.4;50;SSW;670;10.7;
12/02/2014;0.0;0.0;8.1;14.3;2.9;67;88;39;1.1;5.0;80;SSW;390;10.9;
13/02/2014;0.0;0.0;5.5;8.9;3.7;71;85;54;1.3;6.8;20;E;360;5.5;
14/02/2014;0.0;0.0;7.4;14.4;0.8;59;92;25;1.2;7.1;20;E;350;10.2;
15/02/2014;0.0;0.0;6.6;9.6;4.1;67;85;48;1.1;4.5;10;E;470;6.1;
16/02/2014;0.0;0.0;7.6;12.1;5.2;77;89;52;1.2;4.3;30;SSW;500;6.1;
17/02/2014;0.8;0.8;9.4;14.0;6.7;75;91;49;1.2;5.1;30;SSW;320;9.9;
