Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2017;0.0;0.0;4.1;9.8;0.7;73;92;45;0.7;3.3;150;SW;380;6.2;
02/01/2017;0.0;0.0;4.6;9.8;1.4;63;87;39;0.8;2.6;90;SW;360;5.4;
03/01/2017;0.0;0.0;4.4;9.2;1.1;70;89;31;1.1;4.8;90;NE;290;6.4;
04/01/2017;0.0;0.0;4.5;11.3;0.3;64;89;17;1.4;10.9;50;SW;380;6.5;
05/01/2017;0.0;0.0;5.2;9.4;1.0;40;71;24;1.2;6.1;60;ENE;190;6.9;
06/01/2017;0.0;0.0;1.7;5.1;-1.5;38;57;22;1.2;5.1;30;SSW;340;7.1;
07/01/2017;0.0;0.0;-0.6;3.4;-3.9;53;72;36;1.0;3.6;10;ENE;470;6.5;
08/01/2017;0.0;0.0;-0.9;2.8;-3.8;62;78;41;1.0;3.4;0;ENE;320;6.0;
09/01/2017;0.0;0.0;0.5;6.9;-4.3;67;85;39;0.9;3.1;60;ENE;280;6.4;
10/01/2017;0.0;0.0;-0.4;0.6;-1.1;82;97;66;1.3;4.4;10;N;380;1.0;
11/01/2017;0.8;0.8;-0.4;0.2;-1.1;87;92;82;1.1;3.5;0;NNE;320;;
12/01/2017;0.0;0.0;0.3;2.0;-1.1;87;99;74;1.4;4.8;20;SSW;330;1.3;
13/01/2017;0.0;0.0;3.5;8.7;-1.6;54;98;18;2.9;11.4;0;W;680;7.6;
14/01/2017;0.0;0.0;6.5;10.9;1.6;28;49;12;1.7;9.6;50;WNW;300;6.9;
15/01/2017;0.0;0.0;3.5;8.3;-0.1;30;49;14;1.2;6.2;20;ENE;200;7.6;
16/01/2017;0.0;0.0;1.4;5.7;-2.1;35;55;15;1.0;6.4;30;ENE;410;7.6;
17/01/2017;0.0;0.0;1.9;6.0;-0.8;32;48;15;1.1;4.7;10;ENE;270;4.1;
18/01/2017;0.0;0.0;2.5;6.4;-0.7;41;57;30;0.9;5.0;100;E;220;6.8;
19/01/2017;0.0;0.0;2.3;5.1;-0.5;52;70;40;0.9;3.3;40;N;220;4.1;
20/01/2017;0.0;0.0;2.5;8.8;-1.2;58;76;33;0.8;4.0;110;ENE;250;7.1;
21/01/2017;0.0;0.0;2.7;8.0;-1.5;57;79;33;0.8;2.7;40;NE;270;7.6;
22/01/2017;0.0;0.0;3.2;8.9;-1.6;57;77;33;0.9;4.3;50;SSW;230;6.5;
23/01/2017;0.0;0.0;4.3;9.7;0.1;52;72;30;0.7;3.4;150;NE;280;7.5;
24/01/2017;0.0;0.0;5.6;10.8;-0.5;48;72;28;1.1;3.7;90;SSW;390;8.1;
25/01/2017;0.0;0.0;6.0;11.5;3.2;50;65;27;1.2;5.3;30;SSW;230;7.8;
26/01/2017;0.0;0.0;3.6;6.8;1.3;63;77;46;1.1;3.5;30;ENE;350;4.3;
27/01/2017;0.0;0.0;3.3;5.1;1.8;66;91;54;1.2;4.5;10;SSW;290;2.7;
28/01/2017;1.8;0.0;2.5;3.7;1.0;92;98;87;1.3;4.2;0;SSW;420;1.2;
29/01/2017;0.0;1.8;2.8;5.7;0.7;93;99;78;1.3;4.6;0;SSW;370;5.7;
30/01/2017;0.0;0.0;4.0;7.2;1.0;85;99;67;0.8;2.8;20;SW;240;4.2;
31/01/2017;0.0;0.0;3.6;6.2;0.9;90;99;76;1.0;3.2;20;ENE;470;5.2;
01/02/2017;0.0;0.0;4.4;8.6;1.4;91;99;70;1.0;3.4;50;SSW;380;6.2;
02/02/2017;0.0;0.0;5.5;6.9;4.2;91;99;80;1.1;2.9;20;ENE;350;1.5;
03/02/2017;3.2;0.0;6.6;8.6;4.9;90;99;74;1.3;7.1;20;ENE;270;3.6;
04/02/2017;0.0;3.2;6.4;10.6;4.3;87;97;60;0.9;5.2;60;ENE;300;5.4;
05/02/2017;0.6;0.6;3.5;6.1;2.3;95;99;76;1.5;6.9;10;SSW;290;1.6;
06/02/2017;7.6;7.4;8.5;15.6;2.9;70;95;35;1.6;5.7;20;SSW;540;8.2;
07/02/2017;0.0;0.2;7.1;11.6;3.6;75;90;57;0.9;3.4;30;NNE;370;6.0;
08/02/2017;1.0;0.0;5.4;6.2;4.5;90;95;78;1.2;4.0;20;N;540;1.3;
09/02/2017;10.8;10.4;4.7;6.4;3.0;83;95;67;1.2;3.8;10;N;220;2.5;
10/02/2017;6.4;3.8;3.3;4.8;1.3;89;98;78;1.0;3.8;10;ENE;250;1.9;
11/02/2017;0.0;4.0;4.9;6.4;3.6;82;89;73;1.0;3.7;10;ENE;420;3.6;
12/02/2017;0.0;0.0;6.0;7.4;4.6;84;91;72;1.1;4.3;60;SSW;580;2.2;
13/02/2017;0.4;0.4;6.6;8.1;5.4;90;97;80;1.2;4.8;30;NNE;300;2.4;
14/02/2017;3.4;1.8;7.0;9.5;5.0;85;97;68;1.2;3.6;10;SSW;420;3.8;
15/02/2017;0.0;1.6;8.9;15.2;3.8;72;95;38;1.1;4.2;70;SSW;580;11.2;
16/02/2017;0.0;0.0;10.3;17.1;4.7;67;93;41;0.7;3.5;190;SSW;300;10.7;
17/02/2017;0.0;0.0;10.3;15.7;5.1;71;89;45;1.1;6.1;90;SSW;210;11.3;
18/02/2017;0.0;0.0;7.3;11.8;3.6;85;99;60;1.2;4.4;80;NNE;320;7.8;
19/02/2017;0.0;0.0;5.2;9.8;2.6;91;99;68;1.1;4.0;10;ENE;400;9.7;
20/02/2017;0.0;0.0;5.7;10.5;2.6;87;99;60;1.2;3.8;30;ENE;320;10.4;
21/02/2017;0.0;0.0;8.3;16.3;2.8;79;99;46;1.1;6.0;60;ENE;300;10.8;
22/02/2017;0.0;0.0;6.7;10.5;3.9;87;99;73;1.3;4.0;10;ENE;440;8.7;
23/02/2017;0.0;0.0;7.0;9.7;4.3;93;99;83;1.2;3.6;0;ENE;410;3.6;
24/02/2017;0.0;0.0;9.8;13.4;7.3;79;95;42;0.9;3.4;60;NNE;230;5.6;
25/02/2017;0.0;0.0;8.6;12.5;5.5;60;88;33;1.2;4.9;70;NE;250;8.9;
26/02/2017;0.0;0.0;8.9;15.6;3.6;52;83;18;1.0;5.6;130;ENE;230;12.8;
27/02/2017;0.0;0.0;8.5;13.4;4.7;62;90;41;1.3;4.2;0;NE;440;10.4;
28/02/2017;0.0;0.0;8.0;11.3;5.4;75;93;25;1.7;11.2;0;ENE;260;6.6;
01/03/2017;0.0;0.0;13.0;18.5;8.3;24;45;13;3.1;13.0;0;W;640;13.5;
02/03/2017;0.0;0.0;10.9;17.2;5.3;48;66;26;1.0;4.2;70;NE;230;12.5;
03/03/2017;0.0;0.0;7.7;8.8;6.3;84;99;66;1.6;5.5;10;NE;640;1.8;
04/03/2017;7.8;4.2;8.2;12.2;7.1;89;99;61;1.4;7.6;10;NE;270;3.6;
